id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
1074,Dutch,PG-13,Comedy,33,medium,mid,6.5,False,False,low,False,False,47.0,1,False,False,37.29585295454545,45.0,0,False,False,0.0
1075,Shattered,R,Crime,33,medium,low,6.5,False,False,low,False,False,50.0,2,True,False,0.5288187671296296,42.0,3,False,False,4.126660823390151
1076,Mobsters,R,Crime,33,medium,low,6.0,False,False,low,False,False,23.0,0,False,False,0.0,22.0,1,False,False,0.277728
1077,Dying Young,R,Drama,33,medium,mid,6.1,False,False,high,False,False,52.0,4,False,False,2.4641308456730764,24.0,0,False,False,0.0
1078,Delirious,PG,Comedy,33,medium,low,5.9,False,False,low,False,False,49.0,1,False,False,3.3336758,41.0,2,False,False,3.3063485166666666
1079,Little Man Tate,PG,Drama,33,medium,mid,6.6,False,False,mid,False,False,29.0,0,False,False,0.0,29.0,1,False,False,0.1762190909090909
1080,Shadows and Fog,PG-13,Comedy,33,short,mid,6.7,False,False,low,False,False,56.0,10,True,False,1.2754625324890352,56.0,3,True,False,1.0271756750000003
1081,Shakes the Clown,R,Comedy,33,short,low,5.6,False,False,low,False,True,29.0,0,False,False,0.0,29.0,0,False,False,0.0
1082,Billy Bathgate,R,Crime,33,medium,mid,5.9,False,False,low,False,False,59.0,2,False,False,0.5352403083333334,54.0,2,True,False,11.31555631904762
1083,Kafka,PG-13,Drama,33,medium,low,6.9,False,False,low,False,False,28.0,1,False,False,20.618055833333333,43.0,1,False,False,0.6183467692307693
1084,Johnny Suede,R,Comedy,33,medium,low,5.8,False,False,low,False,True,38.0,0,False,False,0.0,28.0,0,False,False,0.0
1085,Mystery Date,PG-13,Comedy,33,medium,low,6.0,False,False,low,False,False,43.0,0,False,False,0.0,21.0,1,False,False,0.39492176
1086,The Marrying Man,R,Comedy,33,medium,low,5.8,False,False,low,False,False,35.0,0,False,False,0.0,38.0,1,False,False,2.1854211666666665
1087,Poison,Unrated,Drama,33,short,low,6.4,False,False,high,False,True,30.0,0,False,False,0.0,23.0,0,False,False,0.0
1088,King Ralph,PG,Comedy,33,medium,mid,5.3,False,True,mid,False,False,46.0,2,False,False,2.498088098954143,39.0,0,False,False,0.0
