id,title,rating,genre,age,runtime,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
1,The Shining,R,Drama,44,long,very-high,8.4,True,False,mid,False,False,52.0,0,False,False,0.0,43.0,0,False,False,0.0
2,The Blue Lagoon,R,Adventure,44,medium,high,5.8,False,False,high,False,True,34.0,0,False,False,0.0,15.0,0,False,False,0.0
3,Star Wars: Episode V - The Empire Strikes Back,PG,Action,44,long,very-high,8.7,True,False,high,False,False,57.0,0,False,False,0.0,29.0,0,False,False,0.0
4,Airplane!,PG,Comedy,44,short,very-high,7.7,True,False,high,False,True,36.0,0,False,False,0.0,33.0,0,False,False,0.0
5,Caddyshack,R,Comedy,44,medium,very-high,7.3,False,False,high,False,True,36.0,0,False,False,0.0,37.0,0,False,False,0.0
6,Friday the 13th,R,Horror,44,medium,very-high,6.4,False,False,high,False,True,39.0,0,False,False,0.0,54.0,0,False,False,0.0
7,The Blues Brothers,R,Action,44,long,very-high,7.9,True,False,high,False,False,30.0,0,False,False,0.0,31.0,0,False,False,0.0
8,Raging Bull,R,Biography,44,long,very-high,8.2,True,False,mid,False,False,38.0,0,False,False,0.0,37.0,0,False,False,0.0
9,Superman II,PG,Action,44,long,very-high,6.8,False,False,mid,False,False,48.0,0,False,False,0.0,50.0,0,False,False,0.0
10,The Long Riders,R,Biography,44,medium,mid,7.0,False,False,mid,False,False,38.0,0,False,False,0.0,44.0,0,False,False,0.0
11,Any Which Way You Can,PG,Action,44,medium,mid,6.1,False,False,high,False,False,52.0,0,False,False,0.0,50.0,0,False,False,0.0
12,The Gods Must Be Crazy,PG,Adventure,44,medium,high,7.3,False,False,high,False,True,59.0,0,False,False,0.0,36.0,0,False,False,0.0
13,Popeye,PG,Adventure,44,medium,mid,5.3,False,True,mid,False,False,55.0,0,False,False,0.0,29.0,0,False,False,0.0
14,Ordinary People,R,Drama,44,long,mid,7.7,True,False,high,False,True,44.0,0,False,False,0.0,45.0,0,False,False,0.0
15,Dressed to Kill,R,Crime,44,medium,mid,7.1,False,False,high,False,True,40.0,0,False,False,0.0,47.0,0,False,False,0.0
16,Somewhere in Time,PG,Drama,44,medium,mid,7.2,False,False,mid,False,True,41.0,0,False,False,0.0,28.0,0,False,False,0.0
17,9 to 5,PG,Comedy,44,medium,mid,6.9,False,False,high,False,False,39.0,0,False,False,0.0,43.0,0,False,False,0.0
18,The Fog,R,Horror,44,short,high,6.8,False,False,high,False,True,32.0,0,False,False,0.0,35.0,0,False,False,0.0
19,Cruising,R,Crime,44,medium,mid,6.5,False,False,mid,False,False,45.0,0,False,False,0.0,40.0,0,False,False,0.0
20,Heaven's Gate,R,Adventure,44,long,mid,6.8,False,False,low,False,False,41.0,0,False,False,0.0,44.0,0,False,False,0.0
21,The Final Countdown,PG,Action,44,medium,mid,6.7,False,False,mid,False,False,60.0,0,False,False,0.0,64.0,0,False,False,0.0
22,Xanadu,PG,Other,44,medium,mid,5.3,False,True,mid,False,False,35.0,0,False,False,0.0,32.0,0,False,False,0.0
23,Brubaker,R,Crime,44,long,mid,7.2,False,False,high,False,True,53.0,0,False,False,0.0,44.0,0,False,False,0.0
24,American Gigolo,R,Crime,44,medium,mid,6.2,False,False,high,False,True,34.0,0,False,False,0.0,31.0,0,False,False,0.0
25,Cattle Annie and Little Britches,PG,Drama,44,medium,low,6.1,False,False,low,False,True,58.0,0,False,False,0.0,41.0,0,False,False,0.0
26,Private Benjamin,R,Comedy,44,medium,mid,6.2,False,False,high,False,False,53.0,0,False,False,0.0,35.0,0,False,False,0.0
27,The Hollywood Knights,R,Comedy,44,medium,low,6.3,False,False,mid,False,True,39.0,0,False,False,0.0,29.0,0,False,False,0.0
28,Motel Hell,R,Comedy,44,medium,mid,6.0,False,False,mid,False,True,43.0,0,False,False,0.0,58.0,0,False,False,0.0
29,The Stunt Man,R,Action,44,long,low,7.1,False,False,mid,False,True,51.0,0,False,False,0.0,48.0,0,False,False,0.0
30,The Island,R,Action,44,medium,low,5.3,False,True,low,False,False,42.0,0,False,False,0.0,47.0,0,False,False,0.0
31,The Nude Bomb,PG,Action,44,medium,low,5.1,False,True,low,False,False,54.0,0,False,False,0.0,57.0,0,False,False,0.0
32,Stardust Memories,PG,Comedy,44,short,mid,7.3,False,False,mid,False,False,45.0,0,False,False,0.0,45.0,0,False,False,0.0
33,Melvin and Howard,R,Comedy,44,medium,low,6.8,False,False,low,False,True,36.0,0,False,False,0.0,35.0,0,False,False,0.0
34,Bronco Billy,PG,Action,44,medium,mid,6.1,False,False,high,False,True,50.0,0,False,False,0.0,50.0,0,False,False,0.0
35,When Time Ran Out...,PG,Action,44,long,low,4.6,False,True,low,False,False,49.0,0,False,False,0.0,55.0,0,False,False,0.0
36,Oh Heavenly Dog,PG,Comedy,44,medium,low,5.4,False,True,mid,False,True,41.0,0,False,False,0.0,37.0,0,False,False,0.0
37,The Octagon,R,Action,44,medium,low,5.1,False,True,high,False,True,34.0,0,False,False,0.0,40.0,0,False,False,0.0
38,The Last Flight of Noah's Ark,G,Adventure,44,medium,low,5.8,False,False,mid,False,True,53.0,0,False,False,0.0,42.0,0,False,False,0.0
39,Willie & Phil,R,Comedy,44,medium,low,5.9,False,False,low,False,True,50.0,0,False,False,0.0,34.0,0,False,False,0.0
40,Phobia,R,Drama,44,medium,low,4.0,False,True,low,False,True,74.0,0,False,False,0.0,37.0,0,False,False,0.0
41,Indiana Jones and the Raiders of the Lost Ark,PG,Action,43,medium,very-high,8.4,True,False,high,False,False,35.0,0,False,False,0.0,39.0,0,False,False,0.0
42,An American Werewolf in London,R,Comedy,43,medium,high,7.5,True,False,high,False,False,31.0,1,True,False,4.267773703703703,30.0,0,False,False,0.0
43,Escape from New York,R,Action,43,medium,very-high,7.2,False,False,high,False,True,33.0,1,False,False,21.448782,30.0,0,False,False,0.0
44,The Evil Dead,Other,Horror,43,short,very-high,7.5,True,False,high,False,True,22.0,0,False,False,0.0,23.0,0,False,False,0.0
45,Porky's,R,Comedy,43,medium,mid,6.2,False,False,high,False,True,42.0,0,False,False,0.0,26.0,0,False,False,0.0
46,Blow Out,R,Crime,43,medium,mid,7.4,True,False,low,False,False,41.0,1,False,False,4.907538461538461,27.0,0,False,False,0.0
47,Clash of the Titans,PG,Action,43,medium,mid,6.9,False,False,mid,False,False,55.0,0,False,False,0.0,74.0,0,False,False,0.0
48,Excalibur,R,Adventure,43,long,high,7.4,True,False,high,False,False,48.0,0,False,False,0.0,36.0,0,False,False,0.0
49,Mad Max 2,R,Action,43,medium,very-high,7.6,True,False,high,False,True,36.0,0,False,False,0.0,25.0,0,False,False,0.0
50,Stripes,R,Comedy,43,medium,high,6.9,False,False,high,False,False,35.0,0,False,False,0.0,31.0,0,False,False,0.0
51,The Cannonball Run,PG,Action,43,medium,mid,6.2,False,False,high,False,False,50.0,0,False,False,0.0,45.0,0,False,False,0.0
52,Thief,R,Action,43,long,mid,7.4,True,False,mid,False,True,38.0,0,False,False,0.0,41.0,0,False,False,0.0
53,Time Bandits,PG,Adventure,43,medium,high,7.0,False,False,high,False,True,41.0,0,False,False,0.0,51.0,0,False,False,0.0
54,Friday the 13th Part 2,R,Horror,43,short,high,6.1,False,False,high,False,True,30.0,0,False,False,0.0,55.0,1,False,False,72.28109272727272
55,For Your Eyes Only,PG,Action,43,long,high,6.7,False,False,mid,False,False,49.0,0,False,False,0.0,54.0,0,False,False,0.0
56,Halloween II,R,Horror,43,medium,high,6.5,False,False,high,False,True,32.0,0,False,False,0.0,23.0,0,False,False,0.0
57,Taps,PG,Drama,43,long,mid,6.8,False,False,mid,False,False,53.0,0,False,False,0.0,54.0,0,False,False,0.0
58,Reds,PG,Biography,43,long,mid,7.3,False,False,mid,False,False,44.0,0,False,False,0.0,44.0,0,False,False,0.0
59,The Fox and the Hound,G,Animation,43,short,high,7.3,False,False,high,False,False,62.0,0,False,False,0.0,61.0,0,False,False,0.0
60,Chariots of Fire,PG,Biography,43,long,high,7.2,False,False,high,False,True,45.0,0,False,False,0.0,34.0,0,False,False,0.0
61,Absence of Malice,PG,Drama,43,medium,mid,6.9,False,False,high,False,False,47.0,0,False,False,0.0,56.0,1,False,True,0.1881994
62,Tarzan the Ape Man,Other,Adventure,43,medium,low,3.4,False,True,high,False,True,55.0,0,False,False,0.0,25.0,0,False,False,0.0
63,Victory,PG,Drama,43,medium,mid,6.7,False,False,mid,False,False,75.0,1,False,True,0.011601372549019608,48.0,2,False,True,2.810969867132867
64,Arthur,PG,Comedy,43,medium,mid,6.9,False,False,high,False,True,43.0,0,False,False,0.0,46.0,0,False,False,0.0
65,History of the World: Part I,R,Comedy,43,medium,mid,6.9,False,False,mid,False,False,55.0,0,False,False,0.0,55.0,0,False,False,0.0
66,The Howling,R,Horror,43,medium,mid,6.6,False,False,high,False,True,35.0,0,False,False,0.0,33.0,0,False,False,0.0
67,Dragonslayer,PG,Action,43,medium,mid,6.7,False,False,low,False,False,36.0,0,False,False,0.0,27.0,0,False,False,0.0
68,Cutter's Way,R,Crime,43,medium,low,6.9,False,False,low,False,True,48.0,0,False,False,0.0,32.0,0,False,False,0.0
69,Quest for Fire,R,Adventure,43,medium,mid,7.3,False,False,mid,False,False,38.0,0,False,False,0.0,36.0,0,False,False,0.0
70,The Final Conflict,R,Horror,43,medium,mid,5.6,False,False,high,False,True,43.0,0,False,False,0.0,34.0,0,False,False,0.0
71,Mommie Dearest,R,Biography,43,long,mid,6.7,False,False,high,False,True,51.0,0,False,False,0.0,40.0,0,False,False,0.0
72,Private Lessons,R,Comedy,43,short,low,5.2,False,True,high,False,True,45.0,0,False,False,0.0,29.0,0,False,False,0.0
73,The Postman Always Rings Twice,R,Crime,43,long,mid,6.6,False,False,mid,False,False,48.0,0,False,False,0.0,44.0,1,True,False,2.4736195789473685
74,Deadly Blessing,R,Horror,43,medium,low,5.6,False,False,high,False,True,42.0,0,False,False,0.0,25.0,0,False,False,0.0
75,Eyewitness,R,Crime,43,medium,low,6.0,False,False,low,False,True,52.0,0,False,False,0.0,31.0,0,False,False,0.0
76,Outland,R,Action,43,medium,mid,6.6,False,False,mid,False,False,38.0,0,False,False,0.0,51.0,0,False,False,0.0
77,S.O.B.,R,Comedy,43,long,low,6.4,False,False,mid,False,False,59.0,0,False,False,0.0,46.0,0,False,False,0.0
78,The Beyond,R,Horror,43,short,mid,6.8,False,False,low,False,True,54.0,0,False,False,0.0,27.0,0,False,False,0.0
79,One from the Heart,R,Drama,43,medium,low,6.5,False,False,low,False,False,42.0,0,False,False,0.0,45.0,0,False,False,0.0
80,True Confessions,R,Crime,43,medium,low,6.3,False,False,mid,False,False,52.0,0,False,False,0.0,38.0,1,True,False,1.3001348333333334
81,Nighthawks,R,Action,43,medium,mid,6.4,False,False,high,False,True,47.0,0,False,False,0.0,35.0,0,False,False,0.0
82,Neighbors,R,Comedy,43,medium,low,5.6,False,False,high,False,True,46.0,0,False,False,0.0,32.0,1,True,False,4.267773703703703
83,Wolfen,R,Horror,43,medium,low,6.3,False,False,low,False,False,42.0,0,False,False,0.0,45.0,0,False,False,0.0
84,Prince of the City,R,Crime,43,long,low,7.5,True,False,low,False,True,57.0,0,False,False,0.0,30.0,0,False,False,0.0
85,Eyes of a Stranger,R,Horror,43,short,low,6.0,False,False,mid,False,True,36.0,0,False,False,0.0,28.0,0,False,False,0.0
86,Under the Rainbow,PG,Comedy,43,medium,low,5.4,False,True,low,False,False,31.0,0,False,False,0.0,38.0,2,False,True,3.83853425
87,Carbon Copy,PG,Comedy,43,medium,low,5.6,False,False,mid,False,True,43.0,0,False,False,0.0,47.0,0,False,False,0.0
88,Modern Problems,PG,Comedy,43,medium,low,5.1,False,True,high,False,True,39.0,0,False,False,0.0,38.0,2,False,True,3.83853425
89,Pennies from Heaven,R,Drama,43,medium,low,6.5,False,False,low,False,False,54.0,0,False,False,0.0,36.0,0,False,False,0.0
90,The Legend of the Lone Ranger,PG,Action,43,medium,low,5.1,False,True,low,False,False,58.0,0,False,False,0.0,31.0,0,False,False,0.0
91,Sphinx,PG,Adventure,43,medium,low,5.2,False,True,low,False,False,61.0,0,False,False,0.0,27.0,0,False,False,0.0
92,Zoot Suit,R,Drama,43,medium,low,6.8,False,False,mid,False,True,41.0,0,False,False,0.0,32.0,0,False,False,0.0
93,Buddy Buddy,R,Comedy,43,medium,low,6.5,False,False,low,False,False,75.0,0,False,False,0.0,56.0,0,False,False,0.0
94,Bustin' Loose,R,Comedy,43,medium,low,6.1,False,False,mid,False,False,32.0,0,False,False,0.0,41.0,0,False,False,0.0
95,Heartbeeps,PG,Comedy,43,short,low,4.3,False,True,low,False,False,33.0,0,False,False,0.0,32.0,0,False,False,0.0
96,Take This Job and Shove It,PG,Comedy,43,medium,low,5.0,False,True,high,False,True,44.0,0,False,False,0.0,34.0,1,True,False,23.843868285714287
97,Whose Life Is It Anyway?,R,Comedy,43,medium,low,7.3,False,False,low,False,False,42.0,0,False,False,0.0,34.0,0,False,False,0.0
98,Inchon,PG,Drama,43,long,low,2.7,False,True,low,False,False,66.0,0,False,False,0.0,74.0,0,False,False,0.0
99,All Night Long,R,Comedy,43,short,low,5.5,False,False,low,False,False,51.0,0,False,False,0.0,51.0,1,False,False,2.003439
100,The Pursuit of D.B. Cooper,PG,Adventure,43,medium,low,5.6,False,False,low,False,False,36.0,0,False,False,0.0,50.0,0,False,False,0.0
101,Rollover,R,Drama,43,medium,low,5.4,False,True,low,False,False,53.0,0,False,False,0.0,44.0,1,False,False,10.3300686
102,Honky Tonk Freeway,PG,Action,43,medium,low,5.2,False,True,low,False,False,55.0,0,False,False,0.0,37.0,0,False,False,0.0
103,King of the Mountain,PG,Action,43,medium,low,5.5,False,False,low,False,True,38.0,0,False,False,0.0,30.0,0,False,False,0.0
104,Fast Times at Ridgemont High,R,Comedy,42,medium,high,7.2,False,False,high,False,True,28.0,0,False,False,0.0,22.0,0,False,False,0.0
105,Blade Runner,R,Action,42,medium,very-high,8.1,True,False,mid,False,False,45.0,0,False,False,0.0,40.0,1,True,False,21.662553944444443
106,The Thing,R,Horror,42,medium,very-high,8.1,True,False,mid,False,False,34.0,2,False,False,12.828109833333334,31.0,1,False,False,4.207437666666666
107,Conan the Barbarian,R,Action,42,long,very-high,6.9,False,False,high,False,False,38.0,0,False,False,0.0,35.0,0,False,False,0.0
108,E.T. the Extra-Terrestrial,PG,Other,42,medium,very-high,7.8,True,False,high,False,False,36.0,1,True,False,21.662553944444443,11.0,0,False,False,0.0
109,First Blood,R,Action,42,medium,very-high,7.7,True,False,high,False,False,51.0,0,False,False,0.0,36.0,1,False,False,3.9810718
110,An Officer and a Gentleman,R,Drama,42,long,high,7.0,False,False,high,False,True,38.0,0,False,False,0.0,33.0,1,False,False,4.738265416666667
111,Grease 2,PG,Comedy,42,medium,mid,4.4,False,True,mid,False,False,48.0,0,False,False,0.0,24.0,0,False,False,0.0
112,Annie,PG,Comedy,42,long,mid,6.6,False,False,mid,False,False,76.0,2,False,True,0.5484715862745098,11.0,0,False,False,0.0
113,Poltergeist,PG,Horror,42,medium,very-high,7.3,False,False,high,False,False,39.0,0,False,False,0.0,34.0,0,False,False,0.0
114,48 Hrs.,R,Action,42,medium,high,6.9,False,False,high,False,False,40.0,1,False,False,1.5795189,41.0,0,False,False,0.0
115,Star Trek II: The Wrath of Khan,PG,Action,42,medium,very-high,7.7,True,False,high,False,False,37.0,0,False,False,0.0,51.0,0,False,False,0.0
116,Sophie's Choice,R,Drama,42,long,mid,7.6,True,False,mid,False,False,54.0,1,False,True,0.6782038125,33.0,0,False,False,0.0
117,Gandhi,PG,Biography,42,long,very-high,8.0,True,False,mid,False,False,59.0,0,False,False,0.0,39.0,0,False,False,0.0
118,Tootsie,PG,Comedy,42,medium,very-high,7.4,True,False,high,False,False,48.0,1,False,False,3.39308025,45.0,0,False,False,0.0
119,Tron,PG,Action,42,medium,very-high,6.8,False,False,mid,False,False,31.0,0,False,False,0.0,33.0,1,False,False,0.5842113333333333
120,The Secret of NIMH,G,Animation,42,short,mid,7.6,True,False,mid,False,True,45.0,0,False,False,0.0,39.0,0,False,False,0.0
121,The King of Comedy,PG,Comedy,42,medium,high,7.8,True,False,low,False,False,40.0,1,True,False,1.3001348333333334,39.0,2,True,False,1.2925812166666666
122,Rocky III,PG,Drama,42,medium,very-high,6.8,False,False,high,False,False,36.0,0,False,False,0.0,36.0,1,False,False,3.9810718
123,The Beastmaster,PG,Action,42,medium,mid,6.2,False,False,mid,False,True,28.0,0,False,False,0.0,34.0,0,False,False,0.0
124,Creepshow,R,Comedy,42,long,mid,6.9,False,False,mid,False,True,42.0,0,False,False,0.0,57.0,0,False,False,0.0
125,The Man from Snowy River,PG,Adventure,42,medium,low,7.3,False,False,high,False,True,37.0,1,True,False,7.889456333333333,66.0,1,False,False,1.3873166666666668
126,Pink Floyd: The Wall,R,Drama,42,medium,high,8.0,True,False,mid,False,False,38.0,0,False,False,0.0,31.0,0,False,False,0.0
127,Cat People,R,Other,42,medium,mid,6.2,False,False,low,False,False,36.0,1,False,False,4.738265416666667,21.0,0,False,False,0.0
128,Fanny and Alexander,R,Drama,42,long,high,8.1,True,False,mid,False,True,64.0,0,False,False,0.0,12.0,0,False,False,0.0
129,Friday the 13th Part III,R,Horror,42,medium,mid,5.7,False,False,high,False,True,31.0,1,False,False,17.3782208,23.0,0,False,False,0.0
130,Firefox,PG,Action,42,long,mid,6.0,False,False,mid,False,False,52.0,1,False,False,3.7331783076923077,52.0,2,False,False,4.222833953846154
131,Halloween III: Season of the Witch,R,Horror,42,medium,mid,5.0,False,True,high,False,True,33.0,0,False,False,0.0,47.0,0,False,False,0.0
132,The Dark Crystal,PG,Adventure,42,medium,high,7.2,False,False,mid,False,False,46.0,0,False,False,0.0,46.0,0,False,False,0.0
133,The Verdict,R,Drama,42,long,mid,7.7,True,False,high,False,False,58.0,1,True,False,0.9446810465116279,57.0,2,False,True,1.790639825
134,Pieces,Unrated,Horror,42,short,low,6.1,False,False,high,False,True,47.0,0,False,False,0.0,51.0,0,False,False,0.0
135,The World According to Garp,R,Comedy,42,long,mid,7.2,False,False,mid,False,False,61.0,0,False,False,0.0,31.0,1,False,True,2.49115185
136,Diner,R,Comedy,42,medium,mid,7.1,False,False,mid,False,True,40.0,0,False,False,0.0,24.0,0,False,False,0.0
137,The Best Little Whorehouse in Texas,R,Comedy,42,medium,mid,6.0,False,False,mid,False,False,41.0,1,False,False,10.3300686,46.0,1,False,False,4.009976611111111
138,The Year of Living Dangerously,PG,Drama,42,medium,mid,7.1,False,False,low,False,False,38.0,0,False,False,0.0,26.0,1,True,False,7.889456333333333
139,The Last Unicorn,G,Animation,42,medium,mid,7.4,True,False,mid,False,True,47.0,0,False,False,0.0,33.0,1,False,False,0.5842113333333333
140,The Entity,R,Drama,42,long,mid,6.7,False,False,mid,False,True,49.0,0,False,False,0.0,34.0,0,False,False,0.0
141,Airplane II: the Sequel,PG,Comedy,42,short,high,6.2,False,False,mid,False,False,36.0,0,False,False,0.0,35.0,2,True,True,14.431795142857144
142,The Toy,PG,Comedy,42,medium,mid,5.8,False,False,mid,False,False,52.0,0,False,False,0.0,42.0,1,False,False,2.8419335454545456
143,The House on Sorority Row,R,Horror,42,medium,low,6.0,False,False,high,False,True,23.0,0,False,False,0.0,23.0,0,False,False,0.0
144,Evil Under the Sun,PG,Crime,42,medium,mid,7.1,False,False,low,False,False,60.0,0,False,False,0.0,61.0,0,False,False,0.0
145,Death Wish II,R,Action,42,short,mid,6.0,False,False,high,False,True,47.0,0,False,False,0.0,61.0,0,False,False,0.0
146,Silent Rage,R,Action,42,medium,low,5.5,False,False,mid,False,True,34.0,0,False,False,0.0,42.0,1,False,True,4.74275
147,Megaforce,PG,Action,42,medium,low,3.7,False,True,low,False,False,51.0,1,False,False,4.009976611111111,37.0,0,False,False,0.0
148,Personal Best,R,Drama,42,long,low,6.3,False,False,low,False,False,48.0,0,False,False,0.0,21.0,0,False,False,0.0
149,Dead Men Don't Wear Plaid,PG,Comedy,42,short,mid,6.9,False,False,mid,False,True,60.0,0,False,False,0.0,37.0,1,False,False,0.41687677272727275
150,Amityville II: The Possession,R,Horror,42,medium,mid,5.5,False,False,mid,False,True,60.0,0,False,False,0.0,52.0,0,False,False,0.0
151,Missing,PG,Biography,42,long,mid,7.7,True,False,mid,False,True,49.0,0,False,False,0.0,57.0,1,False,False,0.7258543
152,Cannery Row,PG,Comedy,42,long,low,6.7,False,False,low,False,False,37.0,0,False,False,0.0,41.0,0,False,False,0.0
153,Tempest,PG,Comedy,42,long,low,6.5,False,False,low,False,False,52.0,1,False,False,0.8,53.0,0,False,False,0.0
154,Still of the Night,PG,Crime,42,medium,low,6.1,False,False,low,False,False,50.0,0,False,False,0.0,50.0,0,False,False,0.0
155,Parasite,R,Horror,42,short,low,3.9,False,True,low,False,True,31.0,0,False,False,0.0,41.0,0,False,False,0.0
156,Honkytonk Man,PG,Comedy,42,long,low,6.6,False,False,mid,False,True,52.0,1,False,False,3.7331783076923077,52.0,2,False,False,4.222833953846154
157,"Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean",PG,Comedy,42,medium,low,7.2,False,False,low,False,True,57.0,1,False,True,2.49115185,36.0,0,False,False,0.0
158,The Final Option,R,Action,42,long,low,6.4,False,False,low,False,True,36.0,0,False,False,0.0,36.0,0,False,False,0.0
159,Trail of the Pink Panther,PG,Comedy,42,medium,low,5.0,False,True,mid,False,True,60.0,1,False,False,1.2389238333333332,57.0,0,False,False,0.0
160,The Border,R,Crime,42,medium,low,6.4,False,False,low,False,False,9.0,0,False,False,0.0,45.0,2,True,False,1.7525024978070176
161,Best Friends,PG,Comedy,42,medium,low,5.5,False,False,mid,False,False,56.0,0,False,False,0.0,46.0,1,False,False,4.009976611111111
162,Shoot the Moon,R,Drama,42,long,low,6.9,False,False,low,False,False,38.0,0,False,False,0.0,46.0,1,False,False,0.6251014705882353
163,Lookin' to Get Out,R,Comedy,42,medium,low,5.1,False,True,low,False,False,53.0,0,False,False,0.0,44.0,0,False,False,0.0
164,Barbarosa,PG,Other,42,medium,low,6.4,False,False,low,False,False,43.0,0,False,False,0.0,49.0,0,False,False,0.0
165,The Soldier,R,Action,42,medium,low,5.3,False,True,mid,False,True,32.0,0,False,False,0.0,28.0,0,False,False,0.0
166,Wrong Is Right,R,Comedy,42,medium,low,5.7,False,False,low,False,False,70.0,0,False,False,0.0,52.0,2,False,False,4.77975859375
167,Jekyll and Hyde... Together Again,R,Other,42,short,low,6.2,False,False,low,False,True,44.0,0,False,False,0.0,32.0,0,False,False,0.0
168,Forced Vengeance,R,Action,42,medium,low,5.6,False,False,mid,False,True,44.0,0,False,False,0.0,42.0,1,False,True,4.74275
169,Night Crossing,PG,Drama,42,medium,low,6.5,False,False,low,False,False,62.0,0,False,False,0.0,42.0,0,False,False,0.0
170,Things Are Tough All Over,R,Action,42,medium,low,6.0,False,False,high,False,True,22.0,0,False,False,0.0,34.0,0,False,False,0.0
171,Jinxed!,R,Comedy,42,medium,low,4.7,False,True,low,False,False,70.0,0,False,False,0.0,37.0,0,False,False,0.0
172,Five Days One Summer,PG,Drama,42,medium,low,6.1,False,False,low,False,False,75.0,0,False,False,0.0,52.0,2,False,False,4.77975859375
173,Partners,R,Comedy,42,medium,low,5.3,False,True,mid,False,True,42.0,0,False,False,0.0,41.0,0,False,False,0.0
174,"Yes, Giorgio",PG,Comedy,42,medium,low,3.9,False,True,low,False,False,62.0,1,False,True,0.14448364285714285,47.0,0,False,False,0.0
175,Scarface,R,Crime,41,long,very-high,8.3,True,False,mid,False,False,43.0,2,True,False,2.787102564102564,43.0,1,False,False,1.8013202727272728
176,The Outsiders,PG,Crime,41,medium,high,7.1,False,False,mid,False,False,44.0,1,False,False,0.024492153846153848,17.0,0,False,False,0.0
177,Star Wars: Episode VI - Return of the Jedi,PG,Action,41,long,very-high,8.3,True,False,high,False,False,46.0,0,False,False,0.0,32.0,1,True,False,29.909725944444446
178,Risky Business,R,Comedy,41,medium,high,6.8,False,False,high,False,True,34.0,0,False,False,0.0,21.0,0,False,False,0.0
179,National Lampoon's Vacation,R,Adventure,41,medium,very-high,7.4,True,False,high,False,False,39.0,1,False,False,6.641057333333333,40.0,4,False,True,2.97191734375
180,Trading Places,R,Comedy,41,medium,very-high,7.5,True,False,high,False,False,33.0,2,True,False,3.6673557518518516,22.0,0,False,False,0.0
181,Superman III,PG,Action,41,long,high,5.0,False,True,mid,False,False,51.0,1,False,False,2.003439,31.0,1,False,False,1.9038425490196078
182,The Big Chill,R,Comedy,41,medium,mid,7.2,False,False,high,False,True,34.0,0,False,False,0.0,34.0,0,False,False,0.0
183,Staying Alive,PG,Drama,41,medium,mid,4.7,False,True,mid,False,False,37.0,1,False,False,7.356040352941177,29.0,1,True,False,0.6666666666666666
184,Jaws 3-D,PG,Adventure,41,medium,mid,3.7,False,True,high,False,False,47.0,0,False,False,0.0,29.0,0,False,False,0.0
185,Christine,R,Horror,41,medium,high,6.7,False,False,mid,False,True,35.0,3,True,False,8.988341066666667,22.0,0,False,False,0.0
186,Flashdance,R,Drama,41,medium,high,6.2,False,False,high,False,True,42.0,0,False,False,0.0,20.0,0,False,False,0.0
187,WarGames,PG,Action,41,medium,high,7.1,False,False,high,False,False,44.0,1,False,False,0.6312419230769231,21.0,0,False,False,0.0
188,The Right Stuff,PG,Adventure,41,long,high,7.8,True,False,low,False,False,47.0,0,False,False,0.0,40.0,0,False,False,0.0
189,Krull,PG,Action,41,long,mid,6.1,False,False,low,False,False,54.0,1,False,False,0.7529411764705882,33.0,0,False,False,0.0
190,The Dead Zone,R,Drama,41,medium,high,7.2,False,False,mid,False,False,40.0,0,False,False,0.0,40.0,0,False,False,0.0
191,Octopussy,PG,Action,41,long,high,6.5,False,False,mid,False,False,51.0,1,False,False,1.9576150714285714,56.0,1,False,False,1.9576150714285714
192,Private School,R,Comedy,41,short,low,5.3,False,True,high,False,True,46.0,0,False,False,0.0,20.0,0,False,False,0.0
193,Valley Girl,R,Comedy,41,medium,mid,6.4,False,False,high,False,True,37.0,0,False,False,0.0,19.0,0,False,False,0.0
194,Rumble Fish,R,Crime,41,medium,mid,7.2,False,False,low,False,False,44.0,1,False,False,0.024492153846153848,19.0,0,False,False,0.0
195,Videodrome,R,Horror,41,short,high,7.2,False,False,low,False,True,40.0,0,False,False,0.0,36.0,0,False,False,0.0
196,Terms of Endearment,PG,Comedy,41,long,high,7.4,True,False,high,False,True,43.0,0,False,False,0.0,49.0,0,False,False,0.0
197,Twilight Zone: The Movie,PG,Horror,41,medium,mid,6.5,False,False,mid,False,False,33.0,2,True,False,3.6673557518518516,31.0,0,False,False,0.0
198,Never Say Never Again,PG,Action,41,long,high,6.2,False,False,mid,False,False,60.0,1,True,False,29.909725944444446,53.0,4,False,False,2.4827850885416667
199,A Christmas Story,PG,Comedy,41,medium,very-high,7.9,True,False,high,False,True,44.0,1,False,False,44.5158692,12.0,0,False,False,0.0
200,Cujo,R,Horror,41,medium,mid,6.1,False,False,high,False,True,45.0,0,False,False,0.0,35.0,1,False,False,17.985893
201,Sudden Impact,R,Action,41,medium,mid,6.6,False,False,high,False,False,53.0,3,False,False,2.8568593433048437,53.0,4,False,False,3.3207669074786326
202,Blue Thunder,R,Action,41,medium,mid,6.4,False,False,mid,False,False,44.0,1,False,False,0.6312419230769231,51.0,1,False,False,0.5979947
203,Breathless,R,Action,41,medium,low,5.9,False,False,mid,False,True,42.0,0,False,False,0.0,34.0,2,False,False,11.022169641666666
