id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
4477,Begin Again,11,R,Comedy,104.0,147000.0,7.4,8000000.0,8.2066135,41.0,1,True,False,10.0,36.0,5,True,False,2.305866053625616
4478,Oculus,11,R,Horror,104.0,120000.0,6.5,5000000.0,8.8919902,35.0,0,False,False,0.0,43.0,0,False,False,0.0
4479,The Counselor,11,R,Crime,117.0,98000.0,5.3,25000000.0,2.84037336,76.0,18,True,False,1.95657480664438,28.0,2,False,False,1.758160333333333
4480,Parker,11,R,Action,118.0,118000.0,6.2,35000000.0,1.3406447428571429,69.0,9,True,False,2.359255275100669,26.0,11,False,True,2.0970665289592354
4481,The Call,11,R,Crime,94.0,115000.0,6.7,13000000.0,5.274817769230769,49.0,4,True,True,0.8194249833333332,36.0,4,False,True,1.526825627561323
4482,Scary Movie V,11,PG-13,Comedy,86.0,67000.0,3.5,20000000.0,3.9189372,43.0,3,False,False,2.2510025627513226,46.0,0,False,False,0.0
4483,R.I.P.D.,11,PG-13,Action,96.0,123000.0,5.6,130000000.0,0.602494,45.0,3,False,False,3.363768841553465,47.0,5,False,False,5.452525988250627
4484,Inside Llewyn Davis,11,R,Comedy,104.0,144000.0,7.5,11000000.0,2.9963862727272725,56.0,5,True,False,4.9219080684633205,39.0,0,False,False,0.0
4485,The To Do List,11,R,Comedy,104.0,38000.0,5.8,1500000.0,2.606397333333333,38.0,0,False,False,0.0,37.0,1,False,False,5.899598666666667
4486,Carrie,11,R,Drama,100.0,135000.0,5.9,30000000.0,2.826355933333333,46.0,2,True,False,3.10941081,34.0,0,False,False,0.0
4487,The Lone Ranger,11,PG-13,Action,150.0,225000.0,6.4,175000000.0,1.4885835142857142,49.0,8,True,False,3.7445993463181866,29.0,26,True,False,2.4081335480883443
4488,The Host,11,PG-13,Action,125.0,112000.0,5.9,40000000.0,1.584146475,49.0,4,True,False,2.026585313611111,16.0,2,False,False,1.226031760606061
4489,Turbo,11,PG,Animation,96.0,88000.0,6.4,135000000.0,2.093116162962963,40.0,0,False,False,0.0,50.0,5,False,False,5.452525988250627
4490,What If,11,PG-13,Comedy,98.0,73000.0,6.8,11000000.0,0.7751170909090909,40.0,2,False,False,0.5728960217391305,19.0,8,True,False,7.271212866576384
4491,2 Guns,11,R,Action,109.0,201000.0,6.7,61000000.0,2.162957557377049,47.0,1,False,False,3.85048848,37.0,27,True,False,2.0001077372489666
4492,Enough Said,11,PG-13,Comedy,93.0,60000.0,7.0,8000000.0,3.161109,53.0,2,False,False,6.403480307692307,24.0,0,False,False,0.0
4493,Side Effects,11,R,Crime,106.0,183000.0,7.1,30000000.0,2.1138045,50.0,20,True,True,2.6736594787021737,59.0,1,False,False,0.001691
4494,The Heat,11,R,Action,117.0,165000.0,6.6,43000000.0,5.347227232558139,51.0,1,False,False,8.87333916923077,52.0,15,False,True,3.4056177248699004
4495,Insidious: Chapter 2,11,PG-13,Horror,106.0,160000.0,6.6,5000000.0,10.0,36.0,4,True,False,5.491956325,28.0,2,False,False,8.69589947368421
4496,Redemption,11,R,Action,100.0,68000.0,6.2,20000000.0,0.63355545,54.0,0,False,False,0.0,49.0,11,False,True,2.0970665289592354
4497,Belle,11,PG,Biography,100.0,29000.0,7.3,10900000.0,1.5236307339449542,44.0,0,False,False,0.0,40.0,0,False,False,0.0
4498,After Earth,11,PG-13,Action,100.0,194000.0,4.8,130000000.0,1.873938323076923,43.0,8,True,True,3.734891569092262,46.0,0,False,False,0.0
4499,Lee Daniels' The Butler,11,PG-13,Biography,132.0,111000.0,7.2,30000000.0,5.910459833333333,54.0,2,False,False,3.33383105,30.0,2,False,False,0.7735890555555556
4500,Only God Forgives,11,R,Action,90.0,109000.0,5.7,4800000.0,2.2165866666666667,43.0,2,True,False,7.487500671014493,15.0,6,True,False,4.459087430555555
4501,RED 2,11,PG-13,Action,116.0,163000.0,6.6,84000000.0,1.7628043452380953,61.0,3,False,True,1.453942526825397,52.0,31,True,True,2.3421442101642254
4502,Blood Ties,11,R,Action,127.0,19000.0,6.5,25500000.0,0.1006445098039215,40.0,0,False,False,0.0,33.0,6,False,False,1.115497011605339
4503,Dead Man Down,11,R,Action,118.0,65000.0,6.5,30000000.0,0.6024846333333334,52.0,1,True,False,8.031861538461538,58.0,11,True,False,1.6689786471643744
4504,The Spectacular Now,11,R,Comedy,95.0,147000.0,7.1,2500000.0,2.7674364,35.0,0,False,False,0.0,49.0,0,False,False,0.0
