id,title,rating,genre,runtime,age,popularity,score,is_acclaimed,is_panned,budget_efficiency,is_blockbuster,is_indie,director_age_in_movie,director_experience,director_is_acclaimed,director_is_panned,director_budget_efficiency,star_age_in_movie,star_experience,star_is_acclaimed,star_is_panned,star_budget_efficiency
4275,Magic Mike,R,Comedy,medium,12,very-high,6.1,False,False,high,False,True,49.0,19,True,True,2.288062609160183,31.0,3,False,False,5.2118174999999995
4276,Hotel Transylvania,PG,Animation,medium,12,very-high,7.1,False,False,high,False,False,42.0,0,False,False,0.0,36.0,21,True,True,2.8309963053985383
4277,Lawless,R,Crime,medium,12,very-high,7.3,False,False,mid,False,False,51.0,2,False,False,0.6790089049999999,32.0,2,True,False,5.380763604347826
4278,Spring Breakers,R,Crime,medium,12,very-high,5.3,False,True,high,False,True,39.0,1,False,False,0.08984538461538462,46.0,0,False,False,0.0
4279,Underworld: Awakening,R,Action,short,12,very-high,6.3,False,False,mid,False,False,43.0,0,False,False,0.0,35.0,5,False,False,1.7989177846060211
4280,Piranha 3DD,R,Comedy,short,12,mid,3.7,False,True,mid,False,True,55.0,1,False,False,0.2247296875,24.0,0,False,False,0.0
4281,Safe House,R,Action,medium,12,very-high,6.7,False,False,mid,False,False,35.0,0,False,False,0.0,39.0,25,True,False,1.85345959372414
4282,Seeking a Friend for the End of the World,R,Adventure,medium,12,very-high,6.7,False,False,mid,False,False,34.0,0,False,False,0.0,25.0,9,True,True,4.24900602204268
4283,The Bourne Legacy,PG-13,Action,long,12,very-high,6.6,False,False,mid,True,False,56.0,2,False,False,2.511304875,58.0,3,True,False,2.732198311111111
4284,Abraham Lincoln: Vampire Hunter,R,Action,medium,12,very-high,5.9,False,False,mid,False,False,51.0,2,False,False,7.283087086666667,50.0,0,False,False,0.0
4285,Wreck-It Ralph,PG,Animation,medium,12,very-high,7.7,True,False,mid,True,False,49.0,0,False,False,0.0,41.0,2,False,False,1.0035080428571428
4286,Total Recall,PG-13,Action,medium,12,very-high,6.2,False,False,mid,True,False,39.0,3,False,False,3.369535226060606,30.0,9,True,False,1.6247335897934947
4287,Project X,R,Comedy,short,12,very-high,6.6,False,False,high,False,False,35.0,0,False,False,0.0,47.0,0,False,False,0.0
4288,American Reunion,R,Comedy,medium,12,very-high,6.7,False,False,high,False,False,35.0,1,False,False,3.6246573333333334,36.0,5,False,True,5.184488117575758
4289,Savages,R,Crime,long,12,very-high,6.5,False,False,mid,False,False,66.0,15,True,False,2.711092468934969,21.0,1,True,False,3.2062967666666666
4290,Life of Pi,PG,Adventure,long,12,very-high,7.9,True,False,high,True,False,58.0,8,True,False,5.258918936830367,34.0,0,False,False,0.0
4291,Anna Karenina,R,Drama,long,12,high,6.6,False,False,mid,False,False,40.0,4,True,False,2.8689054232142857,22.0,4,True,False,2.457891988214286
