id,title,age,rating_cat,genre_cat,runtime,popularity,score,budget,budget_efficiency_cat,director_age,director_experience,director_is_acclaimed,director_is_panned,director_efficiency,star_age,star_experience,star_is_acclaimed,star_is_panned,star_efficiency
1431,The Next Karate Kid,30,PG,Action,107.0,28000.0,4.5,12000000.0,mid,51.0,3,False,False,2.2743195463869466,62.0,0,False,False,0.0
1432,Blown Away,30,R,Action,121.0,29000.0,6.2,28000000.0,mid,36.0,3,False,True,1.9744146714285715,45.0,11,True,False,1.1797167593373283
1433,Color of Night,30,R,Other,121.0,23000.0,5.2,40000000.0,low,65.0,1,False,False,2.018253142857143,39.0,6,True,False,1.870978222504756
1434,North,30,PG,Adventure,87.0,13000.0,4.5,40000000.0,low,47.0,7,True,False,4.173638845470383,13.0,1,False,False,3.708245230769231
1435,Muriel's Wedding,30,R,Comedy,106.0,37000.0,7.2,9000000.0,mid,32.0,0,False,False,0.0,22.0,0,False,False,0.0
1436,The Client,30,PG-13,Crime,119.0,62000.0,6.7,45000000.0,mid,55.0,6,True,False,2.677154470819088,48.0,1,True,False,2.7549263636363635
1437,It Could Happen to You,30,PG,Comedy,101.0,37000.0,6.4,20000000.0,mid,49.0,2,False,False,1.5983687883333333,30.0,6,False,True,2.9570792574760767
1438,Wolf,30,R,Drama,125.0,54000.0,6.2,70000000.0,mid,63.0,6,False,False,2.430741510281385,57.0,8,True,True,1.0569750056133072
1439,Mary Shelley's Frankenstein,30,R,Drama,123.0,53000.0,6.4,45000000.0,mid,34.0,4,True,False,1.6312722378787878,51.0,14,True,False,1.3022173010382945
1440,Exit to Eden,30,R,Comedy,113.0,6600.0,4.3,25000000.0,low,60.0,4,False,False,3.712905845768025,38.0,0,False,False,0.0
1441,The Jungle Book,30,PG,Adventure,111.0,17000.0,6.0,27000000.0,mid,32.0,1,False,False,3.708245230769231,28.0,1,False,False,4.536695928571429
1442,The Hudsucker Proxy,30,PG,Comedy,111.0,78000.0,7.2,40000000.0,low,40.0,4,True,False,2.182224672619048,36.0,2,True,False,1.8790083325
1443,Timecop,30,R,Action,99.0,57000.0,5.9,27000000.0,high,51.0,3,False,False,0.9860829448809524,34.0,9,False,True,5.249177404482019
1444,The Santa Clause,30,PG,Comedy,97.0,102000.0,6.5,22000000.0,high,49.0,0,False,False,0.0,41.0,0,False,False,0.0
1445,The Specialist,30,R,Action,110.0,63000.0,5.6,45000000.0,high,43.0,0,False,False,0.0,48.0,16,True,True,3.4196891337350075
1446,The Pagemaster,30,G,Animation,80.0,22000.0,6.1,27000000.0,low,33.0,0,False,False,0.0,14.0,3,True,False,7.8551570196078435
1447,Shallow Grave,30,R,Crime,89.0,58000.0,7.3,2500000.0,low,38.0,0,False,False,0.0,28.0,0,False,False,0.0
1448,Serial Mom,30,R,Comedy,95.0,28000.0,6.8,13000000.0,low,48.0,2,False,False,2.044000863636364,40.0,2,False,False,1.4060651944444444
1449,Bad Girls,30,R,Action,99.0,12000.0,5.2,25000000.0,low,47.0,4,False,False,1.0367763736263735,36.0,2,False,False,0.7912955454545455
1450,The Shadow,30,PG-13,Action,108.0,24000.0,6.1,25000000.0,mid,41.0,2,False,True,0.4436695833333333,36.0,2,True,False,3.635802533333333
1451,Blue Sky,30,PG-13,Drama,101.0,7000.0,6.4,16000000.0,low,21.0,2,False,False,0.4819181772727272,45.0,1,False,False,0.5744679090909091
1452,Quiz Show,30,PG-13,Biography,133.0,66000.0,7.5,31000000.0,low,58.0,3,True,False,4.458763393939393,32.0,0,False,False,0.0
1453,Surviving the Game,30,R,Action,96.0,11000.0,6.2,7400000.0,mid,43.0,1,False,False,4.029376,50.0,4,False,False,0.7542872125457876
1454,Nell,30,PG-13,Drama,112.0,28000.0,6.5,24500000.0,high,53.0,6,False,True,1.5153783316378069,32.0,3,True,False,4.225769563636364
1455,Major League II,30,PG,Comedy,105.0,25000.0,5.6,25000000.0,mid,49.0,4,False,True,2.2034314915060573,29.0,9,True,False,3.384705368320672
1456,Don Juan DeMarco,30,PG-13,Comedy,97.0,49000.0,6.7,25000000.0,mid,53.0,0,False,False,0.0,31.0,4,True,False,1.4926697622607654
1457,Clifford,30,PG,Comedy,90.0,7100.0,5.5,19000000.0,low,49.0,0,False,False,0.0,44.0,1,False,False,1.4663121105232215
1458,Thumbelina,30,G,Animation,86.0,16000.0,6.4,28000000.0,low,57.0,4,True,False,2.8658437416873705,33.0,1,True,False,5.283586975
1459,Double Dragon,30,PG-13,Action,96.0,12000.0,3.8,7850000.0,low,41.0,0,False,False,0.0,36.0,0,False,False,0.0
1460,Death and the Maiden,30,R,Drama,103.0,23000.0,7.3,12000000.0,low,61.0,3,False,False,0.4318347083333333,45.0,3,True,False,4.353383154152334
1461,PCU,30,PG-13,Comedy,79.0,12000.0,6.6,8000000.0,low,38.0,0,False,False,0.0,29.0,0,False,False,0.0
1462,The Postman,30,PG,Biography,108.0,34000.0,7.7,3000000.0,high,48.0,1,False,False,0.5863303773584906,41.0,0,False,False,0.0
1463,8 Seconds,30,PG-13,Biography,105.0,4900.0,6.6,7000000.0,mid,59.0,5,True,True,3.9446252662745103,28.0,0,False,False,0.0
1464,The Madness of King George,30,PG-13,Biography,110.0,16000.0,7.2,65897768.0,low,38.0,0,False,False,0.0,65.0,0,False,False,0.0
1465,Nobody's Fool,30,R,Comedy,110.0,19000.0,7.4,20000000.0,mid,62.0,3,False,False,0.4649196708333333,69.0,6,True,True,1.9556135696805008
1466,The Secret of Roan Inish,30,PG,Drama,103.0,7400.0,7.5,3000000.0,mid,44.0,7,True,False,2.712343694980695,13.0,0,False,False,0.0
1467,Above the Rim,30,R,Crime,96.0,15000.0,6.6,3500000.0,high,35.0,0,False,False,0.0,29.0,0,False,False,0.0
1468,Police Academy: Mission to Moscow,30,PG,Comedy,83.0,32000.0,3.5,6200000.0,low,52.0,1,False,False,8.296181818181818,50.0,0,False,False,0.0
1469,On Deadly Ground,30,R,Action,101.0,23000.0,4.6,50000000.0,low,42.0,0,False,False,0.0,42.0,5,False,False,3.878961584761905
1470,Ready to Wear,30,R,Comedy,133.0,15000.0,5.2,18000000.0,low,69.0,4,True,True,1.5495090284138655,60.0,0,False,False,0.0
1471,Bullets Over Broadway,30,R,Comedy,98.0,36000.0,7.4,20000000.0,low,59.0,13,True,False,1.1013186440595346,28.0,5,False,False,1.0413871275757574
1472,Crooklyn,30,PG-13,Comedy,115.0,9700.0,7.0,14000000.0,low,37.0,6,True,False,4.030852291869242,42.0,0,False,False,0.0
1473,Spanking the Monkey,30,Unrated,Comedy,100.0,6000.0,6.3,200000.0,high,36.0,0,False,False,0.0,25.0,0,False,False,0.0
1474,The Legend of Drunken Master,30,R,Action,102.0,44000.0,7.6,10000000.0,mid,58.0,0,False,False,0.0,40.0,3,False,False,3.677445033333333
