name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Jack Nicholson,18,0.799854673787492,1.7092908502649216,6.605555555555556,0.7696234543189993
Brooke Shields,4,2.2853730319318184,6.528777214910648,5.5,0.7393691004272946
Mark Hamill,2,21.264188772222223,10.812422360584309,8.5,0.282842712474618
Robert Hays,3,9.224541961904762,11.90336334119036,6.3,1.3527749258468684
Chevy Chase,16,1.8711101062604931,2.2067174510804906,6.050000000000001,0.9070097390142329
Betsy Palmer,2,43.829656763636365,38.82219304639107,6.25,0.21213203435596475
John Belushi,2,2.893663734204793,0.5290713926843444,6.75,1.6263455967290599
Robert De Niro,38,0.6262519572917477,1.4893556154458893,6.721052631578948,0.9718074257952164
Gene Hackman,15,0.8190968374709334,1.4506551587354826,6.486666666666667,0.8814490234564791
David Carradine,1,0.5795189,0.0,7.0,0.0
Clint Eastwood,22,2.234383933001789,2.81818502659443,6.65,0.7262099919313642
N!xau,1,5.0063566,0.0,7.3,0.0
Robin Williams,24,3.1324694595448155,5.9673057619522165,6.370833333333333,0.9475272930182502
Donald Sutherland,5,1.9213580874603173,3.6710323114062104,6.4,1.176860229593982
Michael Caine,11,0.6559496659102346,1.4848396651372577,6.745454545454544,0.7188374452734587
Christopher Reeve,5,0.0030761703469079694,0.714317060763402,5.6,1.3397761006974263
Jane Fonda,7,1.4079577146769575,3.5962589652538113,6.128571428571428,0.5250850271282602
Adrienne Barbeau,2,9.743814222222223,15.139110616100307,6.449999999999999,0.4949747468305834
Al Pacino,20,0.9898993377553635,1.4494568970735502,7.005,0.8165878945182108
Kris Kristofferson,2,-0.7676614977272728,0.21657944995279346,6.6,0.2828427124746186
Kirk Douglas,3,1.5141823841269844,2.9888844167965036,6.566666666666666,0.8082903768654759
Olivia Newton-John,1,0.13812855,0.0,5.3,0.0
Robert Redford,13,2.278730721467688,2.80498623117969,6.653846153846155,0.5076340292891205
Richard Gere,22,2.7677518934280383,7.461426937984061,6.199999999999999,0.6900655593423544
Scott Glenn,3,0.12129751593582887,1.5255746062443285,5.900000000000001,0.19999999999999973
Goldie Hawn,6,2.0038239275363527,3.1576784352884224,6.116666666666667,0.4956477243634503
Tony Danza,1,1.5,0.0,6.3,0.0
Rory Calhoun,1,1.1142226666666666,0.0,6.0,0.0
Peter O'Toole,2,0.2614274831932773,1.070313112248603,6.449999999999999,0.9192388155425116
Don Adams,1,-0.022531,0.0,5.1,0.0
Woody Allen,12,-0.19287716973324517,0.4202342906245222,6.933333333333333,0.4334498677803327
Paul Le Mat,1,-0.38435857142857144,0.0,6.8,0.0
Paul Newman,8,0.7643968149292945,1.5687229150528514,6.5375,0.9709163565563059
Chuck Norris,11,1.9768179793935732,2.341547611790939,5.4363636363636365,0.5500413207618629
Elliott Gould,1,0.8333333333333334,0.0,5.8,0.0
Michael Ontkean,1,-0.2,0.0,5.9,0.0
Paul Michael Glaser,1,-0.9883986274509804,0.0,4.0,0.0
Harrison Ford,26,2.980558285217508,4.874781897142552,6.803846153846154,0.8411804891844648
David Naughton,1,2.0669378,0.0,7.5,0.0
Kurt Russell,18,0.6110202407783232,1.2713107148070835,6.761111111111111,0.7154915125808015
Bruce Campbell,4,2.0944804552669556,3.577431310784458,7.425,0.298607881119482
Dan Monahan,3,16.329826921367523,23.58883864611656,5.333333333333333,0.7571877794400367
John Travolta,25,2.9710801184825937,9.052169140149944,5.9079999999999995,1.2671884890049574
Laurence Olivier,2,0.4262767231884058,1.8571619521754785,4.800000000000001,2.9698484809834995
Nigel Terry,1,2.1791941818181817,0.0,7.4,0.0
