director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Stanley Kubrick,3,1.1716389126405757,0.5425794628625077,8.033333333333333,0.5507570547286104
Randal Kleiser,4,3.7732474480158733,5.552560493085522,6.074999999999999,0.9178779875342911
Irvin Kershner,3,10.092258001111112,16.29703902916272,6.8999999999999995,1.5716233645501707
Jim Abrahams,6,6.6551505380748885,8.167485782718124,6.800000000000001,0.7014271166700075
Harold Ramis,9,1.5490466148951463,2.160032651298443,6.377777777777777,1.0544877640088788
Sean S. Cunningham,2,35.64949792613636,50.39068461674971,5.9,0.7071067811865476
John Landis,12,1.493178278911983,2.363542184131086,6.400000000000001,1.085440840479949
Martin Scorsese,19,0.9002301125564975,1.4919097320501795,7.673684210526316,0.5404135302023172
Richard Lester,3,0.2500874871794872,0.9307323555328004,5.733333333333334,0.9451631252505216
Walter Hill,15,0.3854155039260235,1.7554336289526038,6.246666666666668,0.5262626539593902
Buddy Van Horn,3,1.191435757441992,2.202707156444242,5.933333333333333,0.4725815626252605
Jamie Uys,1,5.0063566,0.0,7.3,0.0
Robert Altman,11,0.26448382517560937,1.3916514173085497,6.145454545454546,0.9709414363015274
Robert Redford,9,2.3632343066881956,3.7007940439338483,6.9,0.4949747468305833
Brian De Palma,17,0.7115655317303775,1.6644169348253501,6.58235294117647,0.9362393484825657
Jeannot Szwarc,3,-0.07111399127917835,0.8449793540742455,5.966666666666668,1.429452109492771
Colin Higgins,2,5.160771971428572,5.896275837682135,6.45,0.636396103067893
John Carpenter,14,2.05643753668149,5.486372168571816,6.621428571428572,0.8450567313032178
William Friedkin,9,0.1671310772727273,0.9243315656087414,6.133333333333334,0.7858116822750857
Michael Cimino,4,-0.597045053030303,0.34083481634399504,6.125,0.8381527307120104
Don Taylor,1,0.38731666666666664,0.0,6.7,0.0
Robert Greenwald,1,0.13812855,0.0,5.3,0.0
Stuart Rosenberg,2,1.489579673611111,2.3123163178656525,6.95,0.3535533905932738
Paul Schrader,8,-0.002136919543650806,1.5640872698238413,6.2250000000000005,1.262367390489563
Lamont Johnson,2,-0.37540507965686276,0.7350078542848568,5.8,0.4242640687119283
Howard Zieff,4,2.517708518627451,2.4496689607922875,6.4,0.3915780041490245
Floyd Mutrux,2,0.25588138095238094,1.759449424258029,6.35,0.07071067811865513
Kevin Connor,1,1.1142226666666666,0.0,6.0,0.0
Richard Rush,2,0.25570219642857145,1.078409890439725,6.15,1.3435028842544399
