director,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Frank Oz,Frank Oz,1944.0,0.0,The Muppet Show,actor,miscellaneous
Tim Hunter,Tim Hunter,1947.0,0.0,The Failures,director,producer
Menahem Golan,Menahem Golan,1929.0,2014.0,The Apple,producer,writer
Mike Marvin,,,,,,
David Anspaugh,David Anspaugh,1946.0,0.0,Hoosiers,producer,director
Stephen King,Stephen King,1947.0,0.0,Maximum Overdrive,writer,producer
David Seltzer,David Seltzer,1940.0,0.0,Shining Through,writer,miscellaneous
Tom McLoughlin,Tom McLoughlin,1950.0,0.0,Friday the 13th Part VI: Jason Lives,writer,director
Alan Metter,Alan Metter,1942.0,2020.0,Back to School,director,writer
Edward Zwick,Edward Zwick,1952.0,0.0,The Last Samurai,producer,writer
Stephen Herek,Stephen Herek,1958.0,0.0,Critters,producer,director
John McNaughton,John McNaughton,1950.0,0.0,Henry: Portrait of a Serial Killer,director,writer
Fred Dekker,Fred Dekker,1959.0,0.0,The Monster Squad,writer,producer
Robert Harmon,,,,,,
Harry Winer,Harry Winer,1947.0,0.0,Alias,director,producer
John Irvin,John Irvin,1940.0,0.0,Raw Deal,director,writer
Nelson Shin,Nelson Shin,1939.0,0.0,Empress Chung,animation_department,producer
John Carl Buechler,John Carl Buechler,1952.0,2019.0,Hatchet,special_effects,make_up_department
James Foley,James Foley,1953.0,0.0,At Close Range,director,writer
James Foley,James Foley,1973.0,2014.0,Jim: The James Foley Story,cinematographer,camera_department
Spike Lee,Spike Lee,1957.0,0.0,Do the Right Thing,director,producer
Brian Gibson,Brian Gibson,1944.0,2004.0,Breaking Glass,director,producer
Gary Nelson,Gary Nelson,1934.0,2022.0,The Black Hole,director,assistant_director
Randa Haines,Randa Haines,1945.0,0.0,Children of a Lesser God,director,producer
Fred Walton,Fred Walton,1865.0,1936.0,Babes in the Woods,actor,director
Roman Polanski,Roman Polanski,1933.0,0.0,Chinatown,director,actor
Richard Pearce,Richard Pearce,1943.0,0.0,Heartland,director,cinematographer
Trevor Nunn,Trevor Nunn,1940.0,0.0,Twelfth Night,director,miscellaneous
Robert Mandel,Robert Mandel,1945.0,0.0,Big Shots,director,producer
Paul Michael Glaser,Paul Michael Glaser,1943.0,0.0,Starsky and Hutch,actor,producer
Richard Wenk,Richard Wenk,1956.0,0.0,The Equalizer,writer,director
Kevin Tenney,Kevin Tenney,1955.0,0.0,Witchboard,director,writer
Richard Pryor,Richard Pryor,1940.0,2005.0,Superman III,actor,writer
Dick Richards,Dick Richards,1936.0,0.0,Tootsie,director,writer
Dick Richards,Dick Richards,1924.0,2019.0,Still Rockin',actor,
Jim Goddard,Jim Goddard,1936.0,2013.0,Shanghai Surprise,director,production_designer
Gene Saks,Gene Saks,1921.0,2015.0,Deconstructing Harry,actor,director
Jack Fisk,Jack Fisk,1945.0,0.0,Killers of the Flower Moon,production_designer,art_director
Daryl Duke,Daryl Duke,1929.0,2006.0,The Silent Partner,director,producer
Michelle Manning,,,,,,
Zoran Perisic,Zoran Perisic,1940.0,0.0,Superman,visual_effects,director
Renny Harlin,Renny Harlin,1959.0,0.0,Driven,producer,director
Jerrold Freedman,Jerrold Freedman,1941.0,0.0,The Psychiatrist,director,writer
John McTiernan,John McTiernan,1951.0,0.0,Die Hard,director,producer
Paul Verhoeven,Paul Verhoeven,1938.0,0.0,RoboCop,director,producer
Paul Verhoeven,Paul Verhoeven,1901.0,1975.0,Vergiß die Liebe nicht,actor,director
Paul Verhoeven,Paul Verhoeven,1942.0,2022.0,Teenagers,director,writer
Emile Ardolino,Emile Ardolino,1943.0,1993.0,Dirty Dancing,director,producer
Chris Columbus,Chris Columbus,1958.0,0.0,Harry Potter and the Sorcerer's Stone,producer,writer
Kathryn Bigelow,Kathryn Bigelow,1951.0,0.0,The Hurt Locker,director,producer
Michael Gottlieb,Michael Gottlieb,1945.0,2014.0,Mannequin,director,producer
Gary Goddard,Gary Goddard,1954.0,0.0,Masters of the Universe,writer,producer
Chuck Russell,Chuck Russell,1958.0,0.0,The Scorpion King,director,producer
Garry Marshall,Garry Marshall,1934.0,2016.0,A League of Their Own,writer,producer
William Dear,William Dear,1944.0,0.0,Harry and the Hendersons,director,writer
Michael Gornick,,,,,,
Tom Mankiewicz,Tom Mankiewicz,1942.0,2010.0,Ladyhawke,miscellaneous,writer
Danny DeVito,Danny DeVito,1944.0,0.0,Matilda,actor,producer
Christopher Leitch,,,,,,
John R. Cherry III,John R. Cherry III,1948.0,2022.0,Ernest in the Army,director,producer
Barbet Schroeder,Barbet Schroeder,1941.0,0.0,Our Lady of the Assassins,director,producer
Peter Werner,Peter Werner,1947.0,2023.0,Moonlighting,director,producer
Peter Werner,Peter Werner,1970.0,0.0,Desperate Days,actor,visual_effects
Elaine May,Elaine May,1932.0,0.0,Small Time Crooks,actress,writer
Norman Mailer,Norman Mailer,1923.0,2007.0,Tough Guys Don't Dance,writer,actor
Rod Amateau,Rod Amateau,1923.0,2003.0,The Garbage Pail Kids Movie,producer,director
Jonathan Kaplan,Jonathan Kaplan,1947.0,0.0,The Accused,producer,director
Phil Joanou,Phil Joanou,1961.0,0.0,State of Grace,director,assistant_director
Ruggero Deodato,Ruggero Deodato,1939.0,2022.0,Deathcember,director,assistant_director
Peter R. Hunt,Peter R. Hunt,1925.0,2002.0,On Her Majesty's Secret Service,editor,director
James Toback,James Toback,1944.0,0.0,Bugsy,writer,director
Hector Babenco,Hector Babenco,1946.0,2016.0,Carandiru,director,writer
Bob Giraldi,Bob Giraldi,1939.0,0.0,Dinner Rush,producer,director
Rod Daniel,Rod Daniel,1942.0,2016.0,WKRP in Cincinnati,director,producer
Jerry Schatzberg,Jerry Schatzberg,1927.0,0.0,Scarecrow,director,writer
Christopher Cain,Christopher Cain,1943.0,0.0,Young Guns,director,writer
Mike Hodges,Mike Hodges,1932.0,2022.0,Flash Gordon,director,producer
Wayne Wang,Wayne Wang,1949.0,0.0,Smoke,director,producer
Wayne Wang,Wayne Wang,1978.0,0.0,Wu suo wei ju,actor,
Tom Daley,Tom Daley,1947.0,2014.0,The Outing,director,actor
Tom Daley,Tom Daley,1994.0,0.0,Tom Daley,actor,producer
Paul Weiland,Paul Weiland,1953.0,0.0,Leonard Part 6,director,writer
Michael Radford,Michael Radford,1946.0,0.0,1984,director,writer
Robert Townsend,Robert Townsend,1957.0,0.0,Hollywood Shuffle,director,actor
Harley Cokeliss,Harley Cokeliss,1945.0,0.0,Battletruck,director,producer
Tony Bill,Tony Bill,1940.0,0.0,Flyboys,actor,director
Roger Young,Roger Young,1942.0,0.0,Lou Grant,director,producer
Phil Alden Robinson,Phil Alden Robinson,1950.0,0.0,Field of Dreams,writer,director
Bill Condon,Bill Condon,1955.0,0.0,Dreamgirls,director,writer
Penny Marshall,Penny Marshall,1943.0,2018.0,Laverne & Shirley,actress,director
Penny Marshall,Penny Marshall,1962.0,0.0,The Trial of Tony Blair,actress,archive_sound
John Cornell,John Cornell,1941.0,2021.0,Crocodile Dundee,producer,actor
Michael Lehmann,Michael Lehmann,1957.0,0.0,Heathers,director,producer
Donald Petrie,Donald Petrie,1954.0,0.0,How to Lose a Guy in 10 Days,director,actor
Giuseppe Tornatore,Giuseppe Tornatore,1956.0,0.0,The Best Offer,director,writer
David Zucker,David Zucker,1947.0,0.0,Airplane!,writer,producer
Charles Crichton,Charles Crichton,1910.0,1999.0,A Fish Called Wanda,director,editor
Newt Arnold,Newt Arnold,1922.0,2000.0,The Godfather Part II,assistant_director,actor
Peter MacDonald,Peter MacDonald,1939.0,0.0,Rambo III,camera_department,assistant_director
Stephen Frears,Stephen Frears,1941.0,0.0,Dangerous Liaisons,director,producer
Julien Temple,Julien Temple,1953.0,0.0,Crock of Gold: A Few Rounds with Shane MacGowan,director,writer
John Waters,John Waters,1946.0,0.0,Pecker,actor,writer
John Waters,John Waters,1893.0,1965.0,Two Flaming Youths,assistant_director,director
John Waters,John Waters,1948.0,0.0,Offspring,actor,music_department
Ron Shelton,Ron Shelton,1945.0,0.0,Bull Durham,writer,director
George Scribner,,,,,,
Dwight H. Little,Dwight H. Little,1956.0,0.0,Tekken,director,writer
James Signorelli,,,,,,
Keenen Ivory Wayans,Keenen Ivory Wayans,1958.0,0.0,White Chicks,writer,producer
Stan Winston,Stan Winston,1946.0,2008.0,Terminator 2: Judgment Day,make_up_department,special_effects
Greg Beeman,Greg Beeman,1962.0,0.0,Heroes,producer,director
Tony Randel,Tony Randel,1956.0,0.0,Hellbound: Hellraiser II,editor,director
Dennis Hopper,Dennis Hopper,1936.0,2010.0,Easy Rider,actor,director
Ken Russell,Ken Russell,1927.0,2011.0,The Devils,director,writer
Robert Bierman,,,,,,
Ken Annakin,Ken Annakin,1914.0,2009.0,The Longest Day,director,writer
William Lustig,William Lustig,1955.0,0.0,Army of Darkness,producer,director
Pedro Almodóvar,Pedro Almodóvar,1949.0,0.0,Talk to Her,writer,director
Zelda Barron,Zelda Barron,1929.0,2006.0,Secret Places,script_department,director
Daniel Petrie,Daniel Petrie,1920.0,2004.0,The Bay Boy,director,producer
Gary Sherman,Gary Sherman,1945.0,0.0,Missing Persons,writer,producer
Gary Sherman,Gary Sherman,1955.0,2009.0,Perfect Strangers,camera_department,
Anthony Hickox,Anthony Hickox,1959.0,2023.0,Hellraiser III: Hell on Earth,director,actor
Bud S. Smith,,,,,,
Kenneth Johnson,Kenneth Johnson,1942.0,0.0,The Bionic Woman,writer,producer
Kenneth Johnson,Kenneth Johnson,1912.0,1974.0,Fire Fighters,actor,archive_footage
Bob Swaim,Bob Swaim,1943.0,0.0,La balance,director,writer
Craig R. Baxley,Craig R. Baxley,1949.0,0.0,Action Jackson,stunts,assistant_director
Frank LaLoggia,Frank LaLoggia,1954.0,0.0,Lady in White,actor,director
Steve De Jarnatt,,,,,,
Mick Garris,Mick Garris,1951.0,0.0,Amazing Stories,writer,producer
Mark Goldblatt,,,,,,
Ken Kwapis,Ken Kwapis,1957.0,0.0,One Mississippi,director,producer
Ernest Thompson,Ernest Thompson,1949.0,0.0,On Golden Pond,actor,writer
Henry Winkler,Henry Winkler,1945.0,0.0,The Waterboy,actor,producer
Andrew Fleming,Andrew Fleming,1965.0,0.0,The Craft,director,producer
James B. Harris,James B. Harris,1928.0,0.0,The Killing,producer,writer
Paul Golding,Paul Golding,1982.0,0.0,Revolting,archive_footage,
Mike Figgis,Mike Figgis,1948.0,0.0,Leaving Las Vegas,director,writer
Joan Micklin Silver,Joan Micklin Silver,1935.0,2020.0,Hester Street,director,writer
Pen Densham,Pen Densham,1947.0,0.0,Robin Hood: Prince of Thieves,producer,writer
Janet Greek,Janet Greek,1949.0,0.0,Babylon 5,director,writer
Marisa Silver,,,,,,
Nicolas Roeg,Nicolas Roeg,1928.0,2018.0,Don't Look Now,camera_department,director
Christopher Crowe,Christopher Crowe,1948.0,0.0,The Last of the Mohicans,writer,producer
Bill Fishman,,,,,,
Martin Donovan,Martin Donovan,1950.0,0.0,Apartment Zero,writer,script_department
Martin Donovan,Martin Donovan,1957.0,0.0,Tenet,actor,director
Rowdy Herrington,Rowdy Herrington,1951.0,0.0,Road House,writer,director
Ron Clements,Ron Clements,1953.0,0.0,Hercules,writer,director
Joe Johnston,Joe Johnston,1950.0,0.0,Captain America: The First Avenger,director,visual_effects
Steven Soderbergh,Steven Soderbergh,1963.0,0.0,"Sex, Lies, and Videotape",producer,director
Mary Lambert,Mary Lambert,1951.0,0.0,Pet Sematary,director,writer
Mary Lambert,Mary Lambert,1989.0,0.0,Arlo the Alligator Boy,actress,composer
Jeremiah S. Chechik,Jeremiah S. Chechik,1955.0,0.0,Benny & Joon,director,producer
Eddie Murphy,Eddie Murphy,1961.0,0.0,The Nutty Professor,actor,writer
John Flynn,John Flynn,1932.0,2007.0,Lock Up,director,assistant_director
John Flynn,John Flynn,1991.0,0.0,Rain,producer,director
Todd Holland,Todd Holland,1961.0,0.0,Malcolm in the Middle,director,producer
Jay Levey,,,,,,
William Shatner,William Shatner,1931.0,0.0,Star Trek V: The Final Frontier,actor,producer
Albert Pyun,Albert Pyun,1953.0,2022.0,Cyborg,director,writer
Robert Radler,,,,,,
Phillip Noyce,Phillip Noyce,1950.0,0.0,Rabbit-Proof Fence,producer,director
Mark DiSalle,,,,,,
Gus Van Sant,Gus Van Sant,1952.0,0.0,Elephant,director,producer
Stephen Hopkins,Stephen Hopkins,1958.0,0.0,Lost in Space,producer,director
Dominique Othenin-Girard,Dominique Othenin-Girard,1958.0,0.0,Halloween 5: The Revenge of Michael Myers,director,writer
Kenneth Branagh,Kenneth Branagh,1960.0,0.0,Henry V,actor,producer
Rob Hedden,Rob Hedden,1954.0,0.0,Friday the 13th Part VIII: Jason Takes Manhattan,writer,director
Michael Caton-Jones,Michael Caton-Jones,1957.0,0.0,Memphis Belle,director,producer
Steve Kloves,Steve Kloves,1960.0,0.0,The Fabulous Baker Boys,writer,producer
Graeme Clifford,Graeme Clifford,1942.0,0.0,Don't Look Now,director,editor
Philippe Mora,Philippe Mora,1949.0,0.0,Mad Dog Morgan,director,writer
Joe Pytka,Joe Pytka,1938.0,0.0,Pepsi: Archaeology,director,cinematographer
John Dahl,John Dahl,1956.0,0.0,Kill Me Again,director,art_department
Masami Hata,Masami Hata,1942.0,0.0,Little Nemo: Adventures in Slumberland,director,art_department
Jim Wynorski,Jim Wynorski,1950.0,0.0,The Lost Empire,director,writer
Peter Bonerz,Peter Bonerz,1938.0,0.0,The Bob Newhart Show,director,actor
Francis Veber,Francis Veber,1937.0,0.0,Le Dîner de Cons,writer,director
Thomas J. Wright,,,,,,
Jeff Burr,Jeff Burr,1961.0,2023.0,Straight Into Darkness,director,actor
Christopher Guest,Christopher Guest,1948.0,0.0,This Is Spinal Tap,actor,writer
Christopher Guest,Christopher Guest,1975.0,0.0,Beyond the Chamber of Terror,producer,visual_effects
Bob Balaban,Bob Balaban,1945.0,0.0,Gosford Park,actor,director
Gary David Goldberg,Gary David Goldberg,1944.0,2013.0,Family Ties,writer,producer
Jim Drake,Jim Drake,1944.0,2022.0,Police Academy 4: Citizens on Patrol,director,assistant_director
Jim Drake,Jim Drake,1935.0,0.0,The Affair,music_department,composer
Norman René,Norman René,1950.0,1996.0,Longtime Companion,director,producer
Martin Davidson,Martin Davidson,1939.0,0.0,The Lords of Flatbush,director,writer
Euzhan Palcy,Euzhan Palcy,1953.0,0.0,Siméon,writer,director
James Isaac,James Isaac,1960.0,2012.0,Pig Hunt,special_effects,director
James Isaac,James Isaac,1950.0,2021.0,Toni,director,
Michael Herz,Michael Herz,1949.0,0.0,The Toxic Avenger,producer,miscellaneous
John Frankenheimer,John Frankenheimer,1930.0,2002.0,The Manchurian Candidate,director,miscellaneous
Richard Baskin,Richard Baskin,1948.0,0.0,Nashville,composer,music_department
Jim Wheat,Jim Wheat,1952.0,0.0,Pitch Black,writer,producer
Michael Crichton,Michael Crichton,1942.0,2008.0,Jurassic Park,writer,producer
Robert Ellis Miller,Robert Ellis Miller,1927.0,2017.0,The Buttercup Chain,director,writer
Savage Steve Holland,Savage Steve Holland,1960.0,0.0,Better Off Dead,animation_department,director
Luis Puenzo,Luis Puenzo,1946.0,0.0,The Official Story,director,producer
Jeff Blyth,Jeff Blyth,1946.0,0.0,Cheetah,director,visual_effects
David Greenwalt,David Greenwalt,1949.0,0.0,Profit,producer,writer
Howard Brookner,Howard Brookner,1954.0,1989.0,Robert Wilson and the Civil Wars,director,writer
Bill Forsyth,Bill Forsyth,1946.0,0.0,Local Hero,director,writer
Jerry Zucker,Jerry Zucker,1950.0,0.0,Airplane!,producer,writer
Kevin Costner,Kevin Costner,1955.0,0.0,The Postman,actor,producer
Ron Underwood,Ron Underwood,1953.0,0.0,Tremors,director,writer
Steve Barron,Steve Barron,1956.0,0.0,The Durrells,director,producer
Frank Marshall,Frank Marshall,1946.0,0.0,Congo,producer,miscellaneous
Frank Marshall,Frank Marshall,1900.0,1969.0,What's My Line?,special_effects,
Abel Ferrara,Abel Ferrara,1951.0,0.0,Bad Lieutenant,director,actor
John Lafia,John Lafia,1957.0,2020.0,Man's Best Friend,director,writer
John Patrick Shanley,John Patrick Shanley,1950.0,0.0,Moonstruck,writer,director
Richard Linklater,Richard Linklater,1960.0,0.0,Waking Life,producer,director
Simon Wincer,Simon Wincer,1943.0,0.0,The Phantom,director,assistant_director
Clive Barker,Clive Barker,1952.0,0.0,Nightbreed,writer,producer
Jack Nicholson,Jack Nicholson,1937.0,0.0,Chinatown,actor,producer
Sheldon Lettich,Sheldon Lettich,1951.0,0.0,Max,writer,director
Dennis Dugan,Dennis Dugan,1946.0,0.0,Happy Gilmore,actor,director
Hendel Butoy,Hendel Butoy,1958.0,0.0,The Rescuers Down Under,animation_department,director
Reginald Hudlin,Reginald Hudlin,1961.0,0.0,Marshall,producer,director
Tom Savini,Tom Savini,1946.0,0.0,From Dusk Till Dawn,actor,make_up_department
Frank Henenlotter,Frank Henenlotter,1950.0,0.0,Bad Biology,director,writer
Sally Mattison,,,,,,
Deran Sarafian,Deran Sarafian,1958.0,0.0,Swamp Thing,producer,director
Howard Franklin,,,,,,
Richard Stanley,Richard Stanley,1966.0,0.0,Color Out of Space,writer,director
Richard Stanley,Richard Stanley,1943.0,0.0,Avanti! Villa Mairea,actor,writer
James Orr,James Orr,1953.0,0.0,Mr. Destiny,writer,producer
James Orr,James Orr,1978.0,0.0,2:22,music_department,composer
Andrew Bergman,Andrew Bergman,1945.0,0.0,Striptease,writer,director
Ralph S. Singleton,Ralph S. Singleton,1940.0,0.0,Cagney & Lacey,production_manager,producer
Bernardo Bertolucci,Bernardo Bertolucci,1941.0,2018.0,The Conformist,writer,director
John Harrison,John Harrison,1962.0,0.0,The D Generation,actor,writer
John Harrison,John Harrison,1924.0,2018.0,They Can't Hang Me,producer,director
Whit Stillman,Whit Stillman,1952.0,0.0,Love & Friendship,director,writer
Karel Reisz,Karel Reisz,1926.0,2002.0,The French Lieutenant's Woman,director,producer
David Green,David Green,1948.0,0.0,Buster,director,producer
Robert Resnikoff,,,,,,
Martin Sheen,Martin Sheen,1940.0,0.0,The Departed,actor,producer
Adam Simon,Adam Simon,1962.0,0.0,Salem,writer,producer
Dario Argento,Dario Argento,1940.0,0.0,Deep Red,writer,director
Hal Hartley,Hal Hartley,1959.0,0.0,Trust,director,producer
Jan Egleson,Jan Egleson,1946.0,0.0,The Blue Diner,director,writer
Malcolm Mowbray,Malcolm Mowbray,1949.0,2023.0,A Private Function,director,writer
Roger Corman,Roger Corman,1926.0,0.0,The Silence of the Lambs,producer,director
Patrick Read Johnson,Patrick Read Johnson,1962.0,0.0,5-25-77,writer,director
Tibor Takács,Tibor Takács,1954.0,0.0,Black Warrant,director,writer
Prince,Prince,1958.0,2016.0,Under the Cherry Moon,music_artist,composer
Jon Amiel,Jon Amiel,1948.0,0.0,Copycat,director,producer
Sondra Locke,Sondra Locke,1944.0,2018.0,Every Which Way But Loose,actress,director
John Singleton,John Singleton,1968.0,2019.0,Boyz n the Hood,producer,writer
John Singleton,John Singleton,1941.0,0.0,The Honourable Wally Norman,producer,actor
Barry Sonnenfeld,Barry Sonnenfeld,1953.0,0.0,Men in Black,producer,director
Alfonso Cuarón,Alfonso Cuarón,1961.0,0.0,Gravity,producer,writer
Gary Trousdale,Gary Trousdale,1960.0,0.0,The Hunchback of Notre Dame,director,writer
Jon Avnet,Jon Avnet,1949.0,0.0,Fried Green Tomatoes,director,producer
Peter Hewitt,Peter Hewitt,1962.0,0.0,Thunderpants,director,writer
Joseph Ruben,Joseph Ruben,1950.0,0.0,Dreamscape,director,writer
William A. Graham,William A. Graham,1926.0,2013.0,Return to the Blue Lagoon,director,producer
Ate de Jong,Ate de Jong,1953.0,0.0,The Rotterdam Bombing,director,writer
Dan Aykroyd,Dan Aykroyd,1952.0,0.0,Ghostbusters,writer,actor
Michael Pressman,Michael Pressman,1950.0,0.0,Picket Fences,producer,director
Mario Van Peebles,Mario Van Peebles,1957.0,0.0,Baadasssss!,actor,director
Daniel Petrie Jr.,Daniel Petrie Jr.,1952.0,0.0,Beverly Hills Cop,writer,producer
Jack Bender,Jack Bender,1949.0,0.0,Lost,producer,director
Rachel Talalay,Rachel Talalay,1958.0,0.0,Freddy's Dead: The Final Nightmare,director,producer
Leos Carax,Leos Carax,1960.0,0.0,Holy Motors,director,writer
Brian Levant,Brian Levant,1952.0,0.0,The Flintstones,producer,writer
Lili Fini Zanuck,Lili Fini Zanuck,1954.0,0.0,Driving Miss Daisy,producer,director
Sean Penn,Sean Penn,1960.0,0.0,Mystic River,actor,producer
Michael Hoffman,Michael Hoffman,1956.0,0.0,A Midsummer Night's Dream,director,writer
David Kellogg,David Kellogg,1952.0,0.0,Inspector Gadget,director,producer
Wim Wenders,Wim Wenders,1945.0,0.0,Wings of Desire,director,producer
Michael Karbelnikoff,,,,,,
Jodie Foster,Jodie Foster,1962.0,0.0,The Silence of the Lambs,actress,producer
Bobcat Goldthwait,Bobcat Goldthwait,1962.0,0.0,God Bless America,director,actor
Tom DiCillo,Tom DiCillo,1953.0,0.0,Delirious,director,cinematographer
Jonathan Wacks,,,,,,
Jerry Rees,Jerry Rees,1956.0,0.0,The Brave Little Toaster,art_department,director
Todd Haynes,Todd Haynes,1961.0,0.0,Far from Heaven,director,producer
George Jackson,George Jackson,1921.0,1986.0,Watership Down,animation_department,
George Jackson,George Jackson,1958.0,2000.0,New Jack City,producer,music_department
George Jackson,George Jackson,1936.0,2013.0,Steel Magnolias,composer,soundtrack
Simon Moore,Simon Moore,1958.0,0.0,Traffic,writer,producer
József Gémes,József Gémes,1939.0,2013.0,Daliás idök,animation_department,production_manager
Nadia Tass,,,,,,
Maurice Phillips,Maurice Phillips,1948.0,2012.0,The American Way,director,actor
Sylvio Tabet,Sylvio Tabet,1938.0,0.0,Dead Ringers,producer,miscellaneous
Duncan Gibbins,Duncan Gibbins,1952.0,1993.0,Eve of Destruction,director,writer
Bill Duke,Bill Duke,1943.0,0.0,Predator,actor,director
James Dearden,James Dearden,1949.0,0.0,Fatal Attraction,writer,director
Eric Red,Eric Red,1961.0,0.0,100 Feet,writer,director
Heywood Gould,Heywood Gould,1942.0,0.0,Cocktail,writer,producer
Lasse Hallström,Lasse Hallström,1946.0,0.0,What's Eating Gilbert Grape,director,writer
Geoff Burrowes,Geoff Burrowes,1945.0,0.0,Return to Snowy River,producer,director
Radha Bharadwaj,,,,,,
W.D. Richter,W.D. Richter,1945.0,0.0,Invasion of the Body Snatchers,writer,producer
Quentin Tarantino,Quentin Tarantino,1963.0,0.0,Reservoir Dogs,writer,producer
Bernard Rose,Bernard Rose,1960.0,0.0,Candyman,director,writer
Mick Jackson,Mick Jackson,1943.0,0.0,Volcano,director,producer
Mick Jackson,Mick Jackson,1947.0,0.0,Pitch Perfect,composer,actor
David Fincher,David Fincher,1962.0,0.0,Se7en,producer,director
Penelope Spheeris,Penelope Spheeris,1945.0,0.0,Suburbia,director,miscellaneous
Roland Emmerich,Roland Emmerich,1955.0,0.0,Independence Day,writer,producer
Fran Rubel Kuzui,Fran Rubel Kuzui,1945.0,0.0,Buffy the Vampire Slayer,producer,director
Kenny Ortega,Kenny Ortega,1950.0,0.0,High School Musical 3: Senior Year,director,choreographer
Peter Jackson,Peter Jackson,1961.0,0.0,The Lord of the Rings: The Fellowship of the Ring,producer,director
Peter Jackson,Peter Jackson,1964.0,1997.0,Footy Classified,archive_footage,
Katt Shea,Katt Shea,1956.0,0.0,Nancy Drew and the Hidden Staircase,director,writer
Brett Leonard,Brett Leonard,1959.0,0.0,Virtuosity,director,producer
Les Mayfield,Les Mayfield,1959.0,0.0,Blue Streak,producer,director
Edward James Olmos,Edward James Olmos,1947.0,0.0,Battlestar Galactica,actor,producer
Robert Rodriguez,Robert Rodriguez,1968.0,0.0,El Mariachi,producer,writer
Robert Rodriguez,Robert Rodriguez,1980.0,0.0,Golden Deer,producer,
Bill Kroyer,,,,,,
Ernest R. Dickerson,Ernest R. Dickerson,1951.0,0.0,Juice,director,cinematographer
Jon Turteltaub,Jon Turteltaub,1963.0,0.0,Cool Runnings,producer,director
Uli Edel,Uli Edel,1947.0,0.0,The Baader Meinhof Complex,director,writer
Kevin Hooks,Kevin Hooks,1958.0,0.0,Innerspace,director,producer
David Price,David Price,1961.0,0.0,Dr. Jekyll and Ms. Hyde,director,actor
David Price,David Price,1985.0,0.0,Sunday Night Baseball,actor,archive_footage
David Price,David Price,1940.0,0.0,Erin Burnett OutFront,archive_footage,
Sally Potter,Sally Potter,1949.0,0.0,The Tango Lesson,director,writer
Tony Maylam,Tony Maylam,1943.0,0.0,Journal of a Contract Killer,director,writer
Phil Roman,Phil Roman,1930.0,0.0,The Simpsons,producer,animation_department
Eugene Levy,Eugene Levy,1946.0,0.0,A Mighty Wind,actor,writer
Stanley Tong,Stanley Tong,1960.0,0.0,Rumble in the Bronx,producer,stunts
Bruce Robinson,Bruce Robinson,1946.0,0.0,Withnail & I,actor,writer
Alfonso Arau,Alfonso Arau,1932.0,0.0,Three Amigos!,actor,director
Randall Miller,,,,,,
Bruce A. Evans,Bruce A. Evans,1946.0,0.0,Stand by Me,writer,producer
Carroll Ballard,Carroll Ballard,1937.0,0.0,Fly Away Home,director,camera_department
Stephen Milburn Anderson,Stephen Milburn Anderson,1947.0,2015.0,South Central,producer,writer
Brian Henson,Brian Henson,1963.0,0.0,The Muppet Christmas Carol,producer,actor
Chris Menges,Chris Menges,1940.0,0.0,The Mission,cinematographer,camera_department
Stephen Gyllenhaal,Stephen Gyllenhaal,1949.0,0.0,CBS Afternoon Playhouse,director,producer
Carl Schenkel,Carl Schenkel,1948.0,2003.0,Out of Order,assistant_director,director
Keith Gordon,Keith Gordon,1961.0,0.0,A Midnight Clear,director,actor
Marc Rocco,Marc Rocco,1962.0,2009.0,The Jacket,producer,director
Martin Bell,Martin Bell,1943.0,0.0,Streetwise,director,cinematographer
Martin Bell,Martin Bell,1938.0,0.0,Veillées d'armes,actor,archive_footage
Martin Bell,Martin Bell,1991.0,0.0,Vigil,actor,
Arne Glimcher,Arne Glimcher,1938.0,0.0,Just Cause,producer,director
Billy Crystal,Billy Crystal,1948.0,0.0,Forget Paris,actor,writer
Ringo Lam,Ringo Lam,1955.0,2018.0,City on Fire,director,writer
Gregg Araki,Gregg Araki,1959.0,0.0,Mysterious Skin,writer,director
Tamra Davis,Tamra Davis,1962.0,0.0,A Conversation with Basquiat,director,producer
Irwin Winkler,Irwin Winkler,1931.0,0.0,Goodfellas,producer,writer
Neal Jimenez,Neal Jimenez,1960.0,2022.0,The Waterdance,writer,director
Allan Moyle,Allan Moyle,1947.0,0.0,Pump Up the Volume,director,actor
Robert De Niro,Robert De Niro,1943.0,0.0,Cape Fear,actor,producer
Marco Brambilla,Marco Brambilla,1960.0,0.0,Heaven's Gate,director,writer
Annabel Jankel,Annabel Jankel,1955.0,0.0,Tell It to the Bees,director,producer
Nora Ephron,Nora Ephron,1941.0,2012.0,Julie & Julia,writer,producer
Jane Campion,Jane Campion,1954.0,0.0,Bright Star,writer,director
Henry Selick,Henry Selick,1952.0,0.0,Coraline,director,writer
Daniel Stern,Daniel Stern,1957.0,0.0,City Slickers,actor,director
Jim Sheridan,Jim Sheridan,1949.0,0.0,In America,producer,director
Albert Hughes,Albert Hughes,1972.0,0.0,The Book of Eli,producer,director
Ron Maxwell,Ron Maxwell,1949.0,0.0,Gettysburg,director,producer
Agnieszka Holland,Agnieszka Holland,1948.0,0.0,Spoor,director,writer
John Woo,John Woo,1946.0,0.0,A Better Tomorrow,director,producer
Robert Lieberman,Robert Lieberman,1947.0,2023.0,Fire in the Sky,director,producer
Dominic Sena,Dominic Sena,1949.0,0.0,Kalifornia,director,cinematographer
