actor,primaryName,birthYear,deathYear,knownForTitle,profession_1,profession_2
Tracy Camilla Johns,Tracy Camilla Johns,1963.0,0.0,She's Gotta Have It,actress,archive_footage
Tom Waits,Tom Waits,1949.0,0.0,Seven Psychopaths,music_artist,actor
Karen Black,Karen Black,1939.0,2013.0,Five Easy Pieces,actress,writer
Deborah Foreman,Deborah Foreman,1962.0,0.0,Real Genius,actress,archive_footage
Helena Bonham Carter,Helena Bonham Carter,1966.0,0.0,Sweeney Todd: The Demon Barber of Fleet Street,actress,director
John Candy,John Candy,1950.0,1994.0,"Planes, Trains & Automobiles",actor,writer
Bryan Brown,Bryan Brown,1947.0,0.0,Cocktail,actor,producer
Brian Kerwin,Brian Kerwin,1949.0,0.0,Jack,actor,producer
Danny DeVito,Danny DeVito,1944.0,0.0,Matilda,actor,producer
Richard Jordan,Richard Jordan,1937.0,1993.0,The Hunt for Red October,actor,producer
Richard Jordan,Richard Jordan,1965.0,0.0,Father and Daughter,director,writer
John Lithgow,John Lithgow,1945.0,0.0,The World According to Garp,actor,producer
Michael Keaton,Michael Keaton,1951.0,0.0,Birdman or (The Unexpected Virtue of Ignorance),actor,miscellaneous
Stephen Lang,Stephen Lang,1952.0,0.0,Avatar,actor,producer
Chris Makepeace,Chris Makepeace,1964.0,0.0,Meatballs,actor,assistant_director
Burt Lancaster,Burt Lancaster,1913.0,1994.0,From Here to Eternity,actor,producer
Todd Allen,Todd Allen,1960.0,0.0,Django Unchained,actor,producer
Blythe Danner,Blythe Danner,1943.0,0.0,Meet the Parents,actress,soundtrack
Sissy Spacek,Sissy Spacek,1949.0,0.0,In the Bedroom,actress,art_department
Judd Nelson,Judd Nelson,1959.0,0.0,The Breakfast Club,actor,writer
Scott McGinnis,Scott McGinnis,1958.0,0.0,Star Trek III: The Search for Spock,actor,director
Mike Norris,Mike Norris,1962.0,0.0,Rush Hour 3,actor,stunts
Victor Love,Victor Love,1957.0,0.0,Red All Over,actor,director
Cary Elwes,Cary Elwes,1962.0,0.0,Saw,actor,producer
Elisabeth Shue,Elisabeth Shue,1963.0,0.0,Leaving Las Vegas,actress,producer
Adrian Pasdar,Adrian Pasdar,1965.0,0.0,Carlito's Way,actor,director
Andrew McCarthy,Andrew McCarthy,1962.0,0.0,Orange Is the New Black,actor,director
Dolph Lundgren,Dolph Lundgren,1957.0,0.0,Rocky IV,actor,producer
Christian Bale,Christian Bale,1974.0,0.0,The Dark Knight,actor,producer
Lorraine Gary,Lorraine Gary,1937.0,0.0,Jaws: The Revenge,actress,archive_footage
Timothy Dalton,Timothy Dalton,1946.0,0.0,The Living Daylights,actor,soundtrack
Lou Diamond Phillips,Lou Diamond Phillips,1962.0,0.0,Courage Under Fire,actor,director
Andre Gower,Andre Gower,1973.0,0.0,The Monster Squad,actor,writer
Donald Pleasence,Donald Pleasence,1919.0,1995.0,Halloween II,actor,writer
George Kennedy,George Kennedy,1925.0,2016.0,Cool Hand Luke,actor,miscellaneous
Hume Cronyn,Hume Cronyn,1911.0,2003.0,Cocoon,actor,producer
Jason Bateman,Jason Bateman,1969.0,0.0,Arrested Development,actor,producer
Jim Varney,Jim Varney,1949.0,2000.0,Ernest Goes to Camp,actor,writer
Kim Basinger,Kim Basinger,1953.0,0.0,L.A. Confidential,actress,producer
Anthony Newley,Anthony Newley,1931.0,1999.0,Can Heironymus Merkin Ever Forget Mercy Humppe and Find True Happiness?,actor,writer
Casey Siemaszko,Casey Siemaszko,1961.0,0.0,Stand by Me,actor,soundtrack
David Paul,David Paul,1957.0,2020.0,The Barbarians,actor,director
Martin Sheen,Martin Sheen,1940.0,0.0,The Departed,actor,producer
Denzel Washington,Denzel Washington,1954.0,0.0,Fences,actor,producer
Madonna,Madonna,1958.0,0.0,A League of Their Own,music_artist,actress
Chris Cooper,Chris Cooper,1951.0,0.0,Adaptation.,actor,director
Chris Cooper,Chris Cooper,1985.0,0.0,Priest,visual_effects,
Jon Cryer,Jon Cryer,1965.0,0.0,Two and a Half Men,actor,producer
Michael E. Knight,Michael E. Knight,1959.0,0.0,All My Children,actor,art_department
Lane Smith,Lane Smith,1936.0,2005.0,My Cousin Vinny,actor,soundtrack
Kelly McGillis,Kelly McGillis,1957.0,0.0,Top Gun,actress,producer
Jim Belushi,Jim Belushi,1954.0,0.0,Red Heat,actor,music_department
Tom Hulce,Tom Hulce,1953.0,0.0,Amadeus,actor,producer
Michael Biehn,Michael Biehn,1956.0,0.0,Aliens,actor,producer
Deborah Winters,Deborah Winters,1953.0,0.0,The Winds of War,actress,casting_director
Bill Cosby,Bill Cosby,1937.0,0.0,The Cosby Show,actor,writer
Sarah Miles,Sarah Miles,1941.0,0.0,Ryan's Daughter,actress,soundtrack
Robert Townsend,Robert Townsend,1957.0,0.0,Hollywood Shuffle,director,actor
Sy Richardson,Sy Richardson,1941.0,0.0,Repo Man,actor,director
Jodie Foster,Jodie Foster,1962.0,0.0,The Silence of the Lambs,actress,producer
Julie Walters,Julie Walters,1950.0,0.0,Billy Elliot,actress,soundtrack
Patrick Dempsey,Patrick Dempsey,1966.0,0.0,Grey's Anatomy,actor,production_manager
Elaine Stritch,Elaine Stritch,1925.0,2014.0,30 Rock,actress,music_department
Eric Stoltz,Eric Stoltz,1961.0,0.0,Pulp Fiction,actor,producer
Eddie Deezen,Eddie Deezen,1957.0,0.0,WarGames,actor,writer
Bruce Willis,Bruce Willis,1955.0,0.0,Die Hard,actor,producer
Alec Baldwin,Alec Baldwin,1958.0,0.0,The Departed,actor,producer
River Phoenix,River Phoenix,1970.0,1993.0,My Own Private Idaho,actor,soundtrack
Roddy Piper,Roddy Piper,1954.0,2015.0,They Live,actor,producer
Winona Ryder,Winona Ryder,1971.0,0.0,Little Women,actress,producer
Bob Hoskins,Bob Hoskins,1942.0,2014.0,The Long Good Friday,actor,director
Annabeth Gish,Annabeth Gish,1971.0,0.0,Mystic Pizza,actress,archive_footage
Philippe Noiret,Philippe Noiret,1930.0,2006.0,Cinema Paradiso,actor,miscellaneous
Catherine Hicks,Catherine Hicks,1951.0,0.0,Star Trek IV: The Voyage Home,actress,soundtrack
Leslie Nielsen,Leslie Nielsen,1926.0,2010.0,Airplane!,actor,producer
Hitoshi Takagi,Hitoshi Takagi,1925.0,2004.0,Throne of Blood,actor,
Melanie Griffith,Melanie Griffith,1957.0,0.0,Working Girl,actress,producer
Jean-Claude Van Damme,Jean-Claude Van Damme,1960.0,0.0,Double Impact,actor,writer
Willem Dafoe,Willem Dafoe,1955.0,0.0,Spider-Man,actor,producer
Pat Hingle,Pat Hingle,1924.0,2009.0,The Quick and the Dead,actor,producer
Glenn Close,Glenn Close,1947.0,0.0,Fatal Attraction,actress,producer
Geena Davis,Geena Davis,1956.0,0.0,Thelma & Louise,actress,producer
Sonny Bono,Sonny Bono,1935.0,1998.0,The Sonny and Cher Show,actor,composer
Jeremy Irons,Jeremy Irons,1948.0,0.0,Dead Ringers,actor,producer
Daniel Day-Lewis,Daniel Day-Lewis,1957.0,0.0,There Will Be Blood,actor,music_department
Shawnee Smith,Shawnee Smith,1969.0,0.0,The Blob,actress,producer
Joey Lawrence,Joey Lawrence,1976.0,0.0,Blossom,actor,music_department
John Neville,John Neville,1925.0,2011.0,The Adventures of Baron Munchausen,actor,miscellaneous
Cassandra Peterson,Cassandra Peterson,1951.0,0.0,Elvira: Mistress of the Dark,actress,producer
Christine Ebersole,Christine Ebersole,1953.0,0.0,The Wolf of Wall Street,actress,soundtrack
Steven Seagal,Steven Seagal,1952.0,0.0,On Deadly Ground,actor,producer
Keenen Ivory Wayans,Keenen Ivory Wayans,1958.0,0.0,White Chicks,writer,producer
Lance Henriksen,Lance Henriksen,1940.0,0.0,Aliens,actor,producer
Terry Kiser,Terry Kiser,1939.0,0.0,Friday the 13th: The New Blood,actor,director
Doug Bradley,Doug Bradley,1954.0,0.0,Hellraiser III: Hell on Earth,actor,make_up_department
Amanda Donohoe,Amanda Donohoe,1962.0,0.0,Liar Liar,actress,producer
James Karen,James Karen,1923.0,2018.0,The Return of the Living Dead,actor,writer
Tami Erin,Tami Erin,1974.0,0.0,The New Adventures of Pippi Longstocking,actress,casting_director
Carmen Maura,Carmen Maura,1945.0,0.0,Women on the Verge of a Nervous Breakdown,actress,soundtrack
Cathy Podewell,Cathy Podewell,1964.0,0.0,Night of the Demons,actress,producer
Heather O'Rourke,Heather O'Rourke,1975.0,1988.0,Poltergeist,actress,archive_footage
William Ragsdale,William Ragsdale,1961.0,0.0,Fright Night,actor,archive_footage
Jackie Mason,Jackie Mason,1928.0,2021.0,The Jerk,actor,writer
Laurence Fishburne,Laurence Fishburne,1961.0,0.0,The Matrix,actor,producer
Fisher Stevens,Fisher Stevens,1963.0,0.0,Short Circuit,actor,producer
Bill Pullman,Bill Pullman,1953.0,0.0,Independence Day,actor,director
Jason Beghe,Jason Beghe,1960.0,0.0,The Next Three Days,actor,producer
James Le Gros,James Le Gros,1962.0,0.0,Drugstore Cowboy,actor,producer
Carl Weathers,Carl Weathers,1948.0,2024.0,Predator,actor,director
Sidney Poitier,Sidney Poitier,1927.0,2022.0,In the Heat of the Night,actor,director
George Dzundza,George Dzundza,1945.0,0.0,Crimson Tide,actor,assistant_director
Lukas Haas,Lukas Haas,1976.0,0.0,Inception,actor,music_department
Anthony Edwards,Anthony Edwards,1962.0,0.0,ER,actor,producer
Anthony Edwards,Anthony Edwards,2001.0,0.0,Hustle,actor,archive_footage
Anthony Edwards,Anthony Edwards,1938.0,2012.0,Doomwatch,actor,
Scott Grimes,Scott Grimes,1971.0,0.0,American Dad!,actor,composer
Eric Bogosian,Eric Bogosian,1953.0,0.0,Talk Radio,actor,writer
Rubén Blades,Rubén Blades,1948.0,0.0,Once Upon a Time in Mexico,actor,composer
Forest Whitaker,Forest Whitaker,1961.0,0.0,The Last King of Scotland,actor,producer
Cyndi Lauper,Cyndi Lauper,1953.0,0.0,Vibes,music_artist,actress
Robert Downey Jr.,Robert Downey Jr.,1965.0,0.0,Iron Man,actor,producer
Billy Crystal,Billy Crystal,1948.0,0.0,Forget Paris,actor,writer
Jennifer Rubin,Jennifer Rubin,1962.0,0.0,A Nightmare on Elm Street 3: Dream Warriors,actress,producer
Gena Rowlands,Gena Rowlands,1930.0,0.0,The Notebook,actress,miscellaneous
Cliff De Young,Cliff De Young,1945.0,0.0,The Craft,actor,soundtrack
Amy Irving,Amy Irving,1953.0,0.0,Traffic,actress,producer
Jessica Lange,Jessica Lange,1949.0,0.0,Tootsie,actress,producer
David Keith,David Keith,1954.0,0.0,An Officer and a Gentleman,actor,music_department
Joanna Pacula,Joanna Pacula,1957.0,0.0,Tombstone,actress,
Tim Daly,Tim Daly,1956.0,0.0,Basic,actor,producer
Alan Boyce,Alan Boyce,1961.0,0.0,Nowhere,actor,
Theresa Russell,Theresa Russell,1957.0,0.0,Spider-Man 3,actress,miscellaneous
Hart Bochner,Hart Bochner,1956.0,0.0,Die Hard,actor,director
Keanu Reeves,Keanu Reeves,1964.0,0.0,The Matrix,actor,producer
Jodi Benson,Jodi Benson,1961.0,0.0,Toy Story 3,actress,producer
Ed Harris,Ed Harris,1950.0,0.0,Appaloosa,actor,producer
Ed Harris,Ed Harris,1944.0,2012.0,I'm in Love with a Church Girl,actor,
Danny Aiello,Danny Aiello,1933.0,2019.0,Do the Right Thing,actor,producer
James Spader,James Spader,1960.0,0.0,The Blacklist,actor,producer
Dale Midkiff,Dale Midkiff,1959.0,0.0,Pet Sematary,actor,producer
Julian Sands,Julian Sands,1958.0,2023.0,A Room with a View,actor,assistant_director
Fred Savage,Fred Savage,1976.0,0.0,The Wonder Years,actor,director
'Weird Al' Yankovic,'Weird Al' Yankovic,1959.0,0.0,UHF,music_artist,actor
Dom DeLuise,Dom DeLuise,1933.0,2009.0,The Cannonball Run,actor,director
Nicole Kidman,Nicole Kidman,1967.0,0.0,Moulin Rouge!,actress,producer
Shelley Long,Shelley Long,1949.0,0.0,Cheers,actress,producer
Morgan Freeman,Morgan Freeman,1937.0,0.0,Se7en,actor,producer
Greg Evigan,Greg Evigan,1953.0,0.0,DeepStar Six,actor,music_department
John Ritter,John Ritter,1948.0,2003.0,Sling Blade,actor,producer
Kenneth Branagh,Kenneth Branagh,1960.0,0.0,Henry V,actor,producer
Jensen Daggett,Jensen Daggett,1969.0,0.0,Friday the 13th Part VIII: Jason Takes Manhattan,actress,miscellaneous
Colin Firth,Colin Firth,1960.0,0.0,A Single Man,actor,producer
Michael Murphy,Michael Murphy,1938.0,0.0,Manhattan,actor,archive_footage
Michael Murphy,Michael Murphy,1986.0,0.0,New Zealand Idol,soundtrack,
Michael Murphy,Michael Murphy,1979.0,0.0,A 2nd Opinion,producer,
Masatoshi Nagase,Masatoshi Nagase,1966.0,0.0,Mystery Train,actor,director
Sammi Davis,Sammi Davis,1964.0,0.0,Four Rooms,actress,camera_department
Christian Slater,Christian Slater,1969.0,0.0,True Romance,actor,producer
Martin Landau,Martin Landau,1928.0,2017.0,Ed Wood,actor,producer
Cybill Shepherd,Cybill Shepherd,1950.0,0.0,Cybill,actress,producer
Gabriel Damon,Gabriel Damon,1976.0,0.0,RoboCop 2,actor,producer
Ted Danson,Ted Danson,1947.0,0.0,Cheers,actor,producer
Dick Durock,Dick Durock,1937.0,2009.0,Stand by Me,actor,stunts
Bubba Smith,Bubba Smith,1945.0,2011.0,Police Academy,actor,producer
Gary Graham,Gary Graham,1950.0,2024.0,Robot Jox,actor,producer
Hulk Hogan,Hulk Hogan,1953.0,0.0,No Holds Barred,actor,producer
Terry O'Quinn,Terry O'Quinn,1952.0,0.0,Lost,actor,soundtrack
Randy Quaid,Randy Quaid,1950.0,0.0,Independence Day,actor,producer
Peter Boyle,Peter Boyle,1935.0,2006.0,Everybody Loves Raymond,actor,soundtrack
Peter Boyle,Peter Boyle,1946.0,0.0,The Hours,editor,editorial_department
Stephen Caffrey,Stephen Caffrey,1959.0,0.0,Tour of Duty,actor,director
Ron Fazio,,,,,,
Don Johnson,Don Johnson,1949.0,0.0,Miami Vice,actor,producer
Don Johnson,Don Johnson,1896.0,1969.0,Beyond the Blue Horizon,sound_department,
Don Johnson,Don Johnson,1911.0,2000.0,Shomuni,actor,archive_footage
Kiefer Sutherland,Kiefer Sutherland,1966.0,0.0,24,actor,producer
Lorraine Bracco,Lorraine Bracco,1954.0,0.0,Goodfellas,actress,producer
Jillian McWhirter,Jillian McWhirter,1962.0,0.0,Progeny,actress,writer
Emily Lloyd,Emily Lloyd,1970.0,0.0,Wish You Were Here,actress,archive_footage
Ron Silver,Ron Silver,1946.0,2009.0,Timecop,actor,director
Keith Coogan,Keith Coogan,1970.0,0.0,Adventures in Babysitting,actor,set_decorator
Cheech Marin,Cheech Marin,1946.0,0.0,Born in East L.A.,actor,writer
Josef Sommer,Josef Sommer,1934.0,0.0,Dirty Harry,actor,archive_footage
Macaulay Culkin,Macaulay Culkin,1980.0,0.0,Home Alone,actor,producer
Judith Hoag,Judith Hoag,1963.0,0.0,Armageddon,actress,
Johnny Depp,Johnny Depp,1963.0,0.0,Pirates of the Caribbean: The Curse of the Black Pearl,actor,producer
Tim Robbins,Tim Robbins,1958.0,0.0,Mystic River,actor,producer
Liam Neeson,Liam Neeson,1952.0,0.0,Kinsey,actor,producer
Gabriel Byrne,Gabriel Byrne,1950.0,0.0,The Usual Suspects,actor,producer
Alex Vincent,Alex Vincent,1981.0,0.0,Child's Play,actor,sound_department
Richard Linklater,Richard Linklater,1960.0,0.0,Waking Life,producer,director
Craig Sheffer,Craig Sheffer,1960.0,0.0,A River Runs Through It,actor,producer
Michael Oliver,Michael Oliver,1981.0,0.0,Problem Child,actor,
Michael Oliver,Michael Oliver,1992.0,0.0,Douglas,actor,
Michael Oliver,Michael Oliver,1934.0,2009.0,"Look, Stranger",writer,
Bob Newhart,Bob Newhart,1929.0,0.0,The Rescuers,actor,writer
Christopher Reid,Christopher Reid,1964.0,0.0,House Party,music_artist,actor
Tony Todd,Tony Todd,1954.0,0.0,Candyman,actor,producer
Jonathan Brandis,Jonathan Brandis,1976.0,2003.0,The NeverEnding Story II: The Next Chapter,actor,miscellaneous
Kate Hodge,Kate Hodge,1966.0,0.0,Rapid Fire,actress,producer
James Lorinz,James Lorinz,1964.0,0.0,Frankenhooker,actor,writer
Andrew Dice Clay,Andrew Dice Clay,1957.0,0.0,The Adventures of Ford Fairlane,actor,producer
Keely Christian,Keely Christian,1966.0,0.0,Slumber Party Massacre III,actress,
Akira Terao,Akira Terao,1947.0,0.0,Ran,actor,producer
Bradley Gregg,Bradley Gregg,1966.0,0.0,Stand by Me,actor,producer
Dylan McDermott,Dylan McDermott,1961.0,0.0,The Practice,actor,producer
Marlon Brando,Marlon Brando,1924.0,2004.0,Apocalypse Now,actor,director
David Andrews,David Andrews,1952.0,0.0,Terminator 3: Rise of the Machines,actor,archive_footage
David Andrews,David Andrews,1935.0,0.0,Six,director,actor
David Andrews,David Andrews,1933.0,1964.0,Seven Keys to Baldpate,actor,
Debbie Harry,Debbie Harry,1945.0,0.0,Videodrome,actress,composer
Gérard Depardieu,Gérard Depardieu,1948.0,0.0,Cyrano de Bergerac,actor,producer
Carolyn Farina,,,,,,
Aidan Quinn,Aidan Quinn,1959.0,0.0,Benny & Joon,actor,producer
Patrick Bergin,Patrick Bergin,1951.0,0.0,Sleeping with the Enemy,actor,producer
Adrienne Shelly,Adrienne Shelly,1966.0,2006.0,Waitress,actress,writer
Douglas Barr,Douglas Barr,1930.0,2015.0,Fortune Lane,actor,
Douglas Barr,Douglas Barr,1949.0,0.0,Dead Badge,actor,director
Ed Begley Jr.,Ed Begley Jr.,1949.0,0.0,A Mighty Wind,actor,producer
Dabney Coleman,Dabney Coleman,1932.0,0.0,WarGames,actor,miscellaneous
Louis Tripp,Louis Tripp,1973.0,0.0,The Gate,actor,archive_footage
Brian Dennehy,Brian Dennehy,1938.0,2020.0,First Blood,actor,producer
Kirstie Alley,Kirstie Alley,1951.0,2022.0,Star Trek II: The Wrath of Khan,actress,producer
Cuba Gooding Jr.,Cuba Gooding Jr.,1968.0,0.0,Jerry Maguire,actor,writer
Anjelica Huston,Anjelica Huston,1951.0,0.0,The Grifters,actress,producer
Susan Sarandon,Susan Sarandon,1946.0,0.0,Thelma & Louise,actress,producer
Maribel Verdú,Maribel Verdú,1970.0,0.0,Pan's Labyrinth,actress,soundtrack
Paige O'Hara,Paige O'Hara,1956.0,0.0,Beauty and the Beast,actress,soundtrack
Kathy Bates,Kathy Bates,1948.0,0.0,Misery,actress,director
Billy Campbell,Billy Campbell,1959.0,0.0,The Rocketeer,actor,camera_department
Anna Chlumsky,Anna Chlumsky,1980.0,0.0,My Girl,actress,soundtrack
Julia Roberts,Julia Roberts,1967.0,0.0,Pretty Woman,actress,producer
Brian Krause,Brian Krause,1969.0,0.0,Charmed,actor,producer
John Turturro,John Turturro,1957.0,0.0,Fading Gigolo,actor,writer
Paige Turco,Paige Turco,1965.0,0.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,actress,
Robert Arkins,,,,,,
Wesley Snipes,Wesley Snipes,1962.0,0.0,Blade,actor,producer
Brandon Quintin Adams,Brandon Quintin Adams,1979.0,0.0,The Sandlot,actor,producer
Justin Whalin,Justin Whalin,1974.0,0.0,Child's Play 3,actor,archive_footage
Juliette Binoche,Juliette Binoche,1964.0,0.0,The English Patient,actress,art_department
Brian Bosworth,Brian Bosworth,1965.0,0.0,Stone Cold,actor,producer
Jason Patric,Jason Patric,1966.0,0.0,The Lost Boys,actor,producer
David Morse,David Morse,1953.0,0.0,The Green Mile,actor,producer
David Morse,David Morse,1975.0,0.0,The Screening,actor,stunts
Kristy Swanson,Kristy Swanson,1969.0,0.0,Buffy the Vampire Slayer,actress,producer
Glen Campbell,Glen Campbell,1936.0,2017.0,True Grit,music_artist,actor
Scott Bakula,Scott Bakula,1954.0,0.0,Quantum Leap,actor,producer
Vanilla Ice,Vanilla Ice,1967.0,0.0,Cool as Ice,actor,composer
Ellen Barkin,Ellen Barkin,1954.0,0.0,The Fan,actress,producer
Ed O'Neill,Ed O'Neill,1946.0,0.0,Married... with Children,actor,soundtrack
Bobcat Goldthwait,Bobcat Goldthwait,1962.0,0.0,God Bless America,director,actor
Brad Pitt,Brad Pitt,1963.0,0.0,Fight Club,producer,actor
Edith Meeks,,,,,,
John Goodman,John Goodman,1952.0,0.0,10 Cloverfield Lane,actor,producer
Jeff Speakman,Jeff Speakman,1958.0,0.0,The Perfect Weapon,actor,producer
Claire Bloom,Claire Bloom,1931.0,0.0,Clash of the Titans,actress,archive_footage
Laura Dern,Laura Dern,1967.0,0.0,Jurassic Park,actress,producer
Martin Short,Martin Short,1950.0,0.0,Innerspace,actor,writer
Martin Short,Martin Short,1943.0,2020.0,Inside the Brotherhood,writer,producer
Gregory Hines,Gregory Hines,1946.0,2003.0,History of the World: Part I,actor,miscellaneous
Joe Pesci,Joe Pesci,1943.0,0.0,Goodfellas,actor,soundtrack
Cindy Williams,Cindy Williams,1947.0,2023.0,Laverne & Shirley,actress,producer
Jeff Fahey,Jeff Fahey,1952.0,0.0,Lost,actor,producer
Vincent Spano,Vincent Spano,1962.0,0.0,Baby It's You,actor,director
Kevin Anderson,Kevin Anderson,1960.0,0.0,Orphans,actor,soundtrack
Kevin Anderson,Kevin Anderson,1986.0,0.0,Wimbledon,archive_footage,
Kevin Anderson,Kevin Anderson,1992.0,0.0,Inside Mind,writer,director
Madeleine Stowe,Madeleine Stowe,1958.0,0.0,12 Monkeys,actress,director
Peter Berg,Peter Berg,1964.0,0.0,Chicago Hope,producer,actor
Harvey Keitel,Harvey Keitel,1939.0,0.0,Reservoir Dogs,actor,producer
Virginia Madsen,Virginia Madsen,1961.0,0.0,Sideways,actress,producer
Scott Weinger,Scott Weinger,1975.0,0.0,Fuller House,actor,producer
Whoopi Goldberg,Whoopi Goldberg,1955.0,0.0,Ghost,actress,producer
Bridget Fonda,Bridget Fonda,1964.0,0.0,A Simple Plan,actress,soundtrack
Mike Myers,Mike Myers,1963.0,0.0,Austin Powers in Goldmember,actor,writer
Sheryl Lee,Sheryl Lee,1967.0,0.0,Twin Peaks: Fire Walk with Me,actress,miscellaneous
Annabella Sciorra,Annabella Sciorra,1960.0,0.0,The Hand That Rocks the Cradle,actress,producer
Timothy Balme,Timothy Balme,1967.0,0.0,Dead Alive,actor,writer
Edward James Olmos,Edward James Olmos,1947.0,0.0,Battlestar Galactica,actor,producer
Carlos Gallardo,,,,,,
Hugh Grant,Hugh Grant,1960.0,0.0,Love Actually,actor,soundtrack
Edward Furlong,Edward Furlong,1977.0,0.0,Terminator 2: Judgment Day,actor,producer
Samantha Mathis,Samantha Mathis,1970.0,0.0,Broken Arrow,actress,executive
Brendan Fraser,Brendan Fraser,1968.0,0.0,The Mummy,actor,producer
Omar Epps,Omar Epps,1973.0,0.0,House,actor,music_department
Victor Wong,Victor Wong,1906.0,1972.0,Son of Kong,actor,archive_footage
Victor Wong,Victor Wong,1927.0,2001.0,Big Trouble in Little China,actor,archive_footage
Victor Wong,Victor Wong,1972.0,0.0,Ice Kacang Puppy Love,actor,soundtrack
Terry Farrell,Terry Farrell,1963.0,0.0,Star Trek: Deep Space Nine,actress,soundtrack
Terence Knox,Terence Knox,1946.0,0.0,Tour of Duty,actor,archive_footage
Tilda Swinton,Tilda Swinton,1960.0,0.0,We Need to Talk About Kevin,actress,producer
James Marshall,James Marshall,1967.0,0.0,A Few Good Men,actor,producer
Richard Kind,Richard Kind,1956.0,0.0,Argo,actor,writer
George Strait,George Strait,1952.0,0.0,Pure Country,music_artist,actor
Stephen Dorff,Stephen Dorff,1973.0,0.0,Blade,actor,producer
Anne Parillaud,Anne Parillaud,1960.0,0.0,La Femme Nikita,actress,director
Andy Garcia,Andy Garcia,1956.0,0.0,Ocean's Eleven,actor,producer
Hugh Laurie,Hugh Laurie,1959.0,0.0,House,actor,producer
Marco Leonardi,Marco Leonardi,1971.0,0.0,Cinema Paradiso,actor,soundtrack
Damon Wayans,Damon Wayans,1960.0,0.0,My Wife and Kids,writer,actor
Bill Paxton,Bill Paxton,1955.0,2017.0,Aliens,actor,producer
Brandon Lee,Brandon Lee,1965.0,1993.0,The Crow,actor,miscellaneous
Brandon Lee,Brandon Lee,1979.0,0.0,Captured,actor,composer
Brandon Lee,Brandon Lee,1992.0,0.0,Simplicity,writer,director
Glenn Plummer,Glenn Plummer,1961.0,0.0,Strange Days,actor,director
Dermot Mulroney,Dermot Mulroney,1963.0,0.0,My Best Friend's Wedding,actor,music_department
Mary McDonnell,Mary McDonnell,1952.0,0.0,Battlestar Galactica,actress,soundtrack
Ray Liotta,Ray Liotta,1954.0,2022.0,Narc,actor,producer
Armand Assante,Armand Assante,1949.0,0.0,Gotti,actor,producer
Mike Dytri,,,,,,
Robert John Burke,Robert John Burke,1960.0,0.0,RoboCop 3,actor,archive_footage
Andie MacDowell,Andie MacDowell,1958.0,0.0,Groundhog Day,actress,producer
Penelope Ann Miller,Penelope Ann Miller,1964.0,0.0,Carlito's Way,actress,soundtrack
Jason London,Jason London,1972.0,0.0,Dazed and Confused,actor,producer
Holly Hunter,Holly Hunter,1958.0,0.0,Broadcast News,actress,producer
Danny Elfman,Danny Elfman,1953.0,0.0,The Nightmare Before Christmas,music_department,composer
Thomas Ian Nicholas,Thomas Ian Nicholas,1980.0,0.0,Adverse,actor,producer
Damian Chapa,Damian Chapa,1963.0,0.0,"Blood In, Blood Out",actor,director
Tyrin Turner,Tyrin Turner,1972.0,0.0,Menace II Society,actor,producer
Kate Maberly,Kate Maberly,1982.0,0.0,The Secret Garden,actress,writer
Jason James Richter,Jason James Richter,1980.0,0.0,The Little Things,actor,producer
Anthony Hopkins,Anthony Hopkins,1937.0,0.0,The Silence of the Lambs,actor,composer
D.B. Sweeney,D.B. Sweeney,1961.0,0.0,The Cutting Edge,actor,writer
Sharon Stone,Sharon Stone,1958.0,0.0,Basic Instinct,actress,producer
Sharon Stone,Sharon Stone,1953.0,0.0,Parting Glances,music_department,soundtrack
Warwick Davis,Warwick Davis,1970.0,0.0,Willow,actor,writer
Angela Bassett,Angela Bassett,1958.0,0.0,Strange Days,actress,producer
Kent McCord,Kent McCord,1942.0,0.0,Predator 2,actor,writer
Joe Mantegna,Joe Mantegna,1947.0,0.0,The Godfather Part III,actor,producer
John D. LeMay,John D. LeMay,1962.0,0.0,Jason Goes to Hell,actor,director
Diedrich Bader,Diedrich Bader,1966.0,0.0,Office Space,actor,producer
Charles Grodin,Charles Grodin,1935.0,2021.0,Midnight Run,actor,writer
Federico Luppi,Federico Luppi,1934.0,2017.0,Cronos,actor,director
Elias Koteas,Elias Koteas,1961.0,0.0,The Thin Red Line,actor,producer
Gabrielle Anwar,Gabrielle Anwar,1970.0,0.0,The Three Musketeers,actress,producer
Shane McDermott,Shane McDermott,1976.0,0.0,Airborne,actor,
Jason Scott Lee,Jason Scott Lee,1966.0,0.0,Dragon: The Bruce Lee Story,actor,archive_footage
Janet Jackson,Janet Jackson,1966.0,0.0,Poetic Justice,music_artist,actress
Tamlyn Tomita,Tamlyn Tomita,1966.0,0.0,The Day After Tomorrow,actress,writer
Kevin Conroy,Kevin Conroy,1955.0,2022.0,Batman: The Killing Joke,actor,producer
Ashley Judd,Ashley Judd,1968.0,0.0,Double Jeopardy,actress,producer
Will Smith,Will Smith,1968.0,0.0,The Fresh Prince of Bel-Air,producer,actor
Will Smith,Will Smith,1971.0,0.0,Veep,writer,producer
Will Smith,Will Smith,1973.0,0.0,Wormwood,actor,
Will Smith,Will Smith,1981.0,2016.0,The NFL on CBS,archive_footage,
Leslie Cheung,Leslie Cheung,1956.0,2003.0,Days of Being Wild,actor,music_department
