actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Vincent Spano,low,not-profitable,low,mid-high,low
Kevin Anderson,low,not-profitable,low,mid-low,low
Madeleine Stowe,mid,not-profitable,low,mid-low,high
Peter Berg,low,not-profitable,low,mid-high,mid
Harvey Keitel,mid,not-profitable,low,mid-high,high
Virginia Madsen,low,very-profitable,mid,mid-low,mid
Scott Weinger,low,very-profitable,low,high,low
Whoopi Goldberg,mid,profitable,mid,mid-low,mid
Bridget Fonda,low,profitable,low,mid-low,mid
Mike Myers,high,very-profitable,high,mid-low,high
Sheryl Lee,low,not-profitable,low,mid-high,low
Annabella Sciorra,low,very-profitable,high,mid-low,high
Timothy Balme,low,not-profitable,low,high,low
Edward James Olmos,low,not-profitable,low,mid-high,low
Carlos Gallardo,low,very-profitable,low,mid-high,low
Hugh Grant,high,very-profitable,high,mid-high,high
Edward Furlong,mid,not-profitable,mid,mid-low,high
Samantha Mathis,low,not-profitable,low,mid-high,low
Brendan Fraser,high,not-profitable,mid,mid-low,high
Omar Epps,low,profitable,mid,mid-high,mid
Victor Wong,low,profitable,mid,low,mid
Terry Farrell,low,profitable,low,mid-low,low
Terence Knox,low,very-profitable,low,low,low
Tilda Swinton,mid,profitable,mid,mid-high,mid
James Marshall,low,not-profitable,low,mid-high,low
Richard Kind,low,not-profitable,low,low,low
George Strait,low,not-profitable,low,mid-high,low
Stephen Dorff,mid,not-profitable,low,mid-low,high
Anne Parillaud,low,not-profitable,low,mid-low,low
Andy Garcia,mid,not-profitable,low,mid-high,mid
Hugh Laurie,low,not-profitable,low,mid-high,low
Marco Leonardi,low,very-profitable,low,mid-high,low
Damon Wayans,mid,not-profitable,mid,mid-low,mid
Bill Paxton,mid,not-profitable,low,mid-low,high
Brandon Lee,low,not-profitable,low,mid-high,high
Glenn Plummer,low,not-profitable,low,mid-high,low
Dermot Mulroney,mid,profitable,high,mid-low,low
Mary McDonnell,low,not-profitable,low,high,low
Ray Liotta,mid,not-profitable,low,mid-low,high
Armand Assante,low,not-profitable,low,mid-high,low
Mike Dytri,low,very-profitable,low,mid-high,low
Robert John Burke,mid,not-profitable,low,mid-low,high
Andie MacDowell,low,not-profitable,low,mid-low,high
Penelope Ann Miller,low,not-profitable,low,mid-low,mid
Jason London,low,not-profitable,low,high,low
Holly Hunter,low,profitable,high,mid-high,high
Danny Elfman,low,very-profitable,low,high,low
Thomas Ian Nicholas,low,profitable,high,low,high
Damian Chapa,low,not-profitable,low,high,low
Tyrin Turner,low,very-profitable,low,high,low
Kate Maberly,low,not-profitable,low,mid-high,low
Jason James Richter,low,very-profitable,low,mid-low,low
Anthony Hopkins,high,not-profitable,low,mid-high,mid
D.B. Sweeney,low,profitable,mid,mid-high,low
Sharon Stone,mid,not-profitable,mid,low,high
Warwick Davis,low,very-profitable,high,low,low
Angela Bassett,mid,profitable,low,mid-high,high
Kent McCord,low,not-profitable,low,mid-low,low
Joe Mantegna,low,not-profitable,low,high,low
John D. LeMay,low,very-profitable,low,low,low
Diedrich Bader,low,profitable,low,low,low
Charles Grodin,low,profitable,high,low,mid
Federico Luppi,low,not-profitable,low,mid-high,low
Elias Koteas,low,profitable,low,low,low
Gabrielle Anwar,low,not-profitable,low,mid-low,low
Shane McDermott,low,not-profitable,low,mid-low,low
Jason Scott Lee,mid,profitable,mid,mid-high,mid
Janet Jackson,mid,profitable,low,mid-low,high
Tamlyn Tomita,low,profitable,low,high,low
Kevin Conroy,low,not-profitable,low,mid-high,high
Ashley Judd,mid,profitable,mid,mid-low,mid
Will Smith,high,profitable,mid,mid-high,mid
Leslie Cheung,low,not-profitable,low,high,low
Jesse Bradford,mid,not-profitable,mid,mid-low,high
Karen Allen,low,not-profitable,low,low,low
Elijah Wood,high,very-profitable,high,mid-high,high
Mark Dacascos,low,not-profitable,low,mid-high,low
Chris Rock,mid,profitable,mid,mid-low,mid
Jason Priestley,low,not-profitable,low,low,low
Hiep Thi Le,low,not-profitable,low,mid-high,low
Alan Arkin,low,not-profitable,low,mid-high,low
Michael Crawford,low,not-profitable,low,mid-high,low
Uma Thurman,mid,profitable,mid,mid-low,high
Andrew Lowery,low,not-profitable,low,low,low
Rongguang Yu,low,not-profitable,low,high,low
Otto Sander,low,not-profitable,low,mid-high,low
Rebecca De Mornay,low,not-profitable,low,low,low
Winston Chao,low,very-profitable,low,high,low
Paul Gross,low,not-profitable,low,mid-low,low
Diane Ladd,low,profitable,low,low,low
Tatsuo Matsumura,low,not-profitable,low,mid-high,low
Roberto Benigni,low,very-profitable,high,mid-low,high
Darci Kistler,low,not-profitable,low,mid-low,low
Brad Johnson,low,not-profitable,low,low,low
Larry B. Scott,low,not-profitable,low,mid-high,low
Jacob Tierney,low,not-profitable,low,mid-low,low
Jim Carrey,high,very-profitable,high,mid-high,mid
Travis Tedford,low,profitable,low,mid-low,low
Woody Harrelson,mid,not-profitable,low,mid-high,mid
Melanie Lynskey,low,not-profitable,low,mid-high,low
Brian O'Halloran,low,very-profitable,high,high,low
Linda Fiorentino,low,profitable,low,mid-high,low
Patrick Stewart,high,profitable,low,mid-high,mid
Lara Flynn Boyle,low,not-profitable,low,mid-low,low
Renée Zellweger,mid,very-profitable,high,mid-low,high
Pat Morita,low,not-profitable,low,low,low
Toni Collette,low,very-profitable,high,mid-high,low
Dana Delany,low,not-profitable,low,low,low
Tim Allen,high,profitable,high,mid-low,high
Kerry Fox,low,not-profitable,low,mid-high,low
Ralph Fiennes,high,profitable,high,mid-high,high
Robert Patrick,low,not-profitable,low,low,low
Jeremy Piven,mid,not-profitable,mid,mid-low,mid
Massimo Troisi,low,very-profitable,low,high,low
Luke Perry,low,profitable,low,mid-high,low
Nigel Hawthorne,low,not-profitable,low,mid-high,low
Jeni Courtney,low,profitable,low,high,low
Duane Martin,low,very-profitable,low,mid-high,low
G.W. Bailey,low,not-profitable,low,low,low
Sophia Loren,low,not-profitable,low,low,low
Alfre Woodard,low,not-profitable,low,mid-high,low
Jeremy Davies,low,profitable,high,mid-low,low
Jack Palance,low,not-profitable,low,mid-high,low
Allen Payne,low,not-profitable,mid,mid-low,high
Rupert Everett,mid,not-profitable,low,mid-high,low
Chris Elliott,low,not-profitable,low,low,low
Denis Leary,low,profitable,high,mid-high,mid
Harley Jane Kozak,low,not-profitable,low,low,low
Tim Roth,mid,not-profitable,low,mid-high,high
Sean Nelson,low,profitable,low,high,low
Kevin Spacey,high,profitable,high,high,mid
Jennifer Jason Leigh,low,not-profitable,low,mid-low,low
Taylor Nichols,low,profitable,low,mid-high,low
Katrin Cartlidge,low,not-profitable,low,high,low
Nikita Mikhalkov,low,not-profitable,low,high,low
Brian Benben,low,not-profitable,low,mid-low,low
Adam Beach,low,not-profitable,mid,mid-high,high
Alicia Silverstone,mid,not-profitable,mid,mid-low,high
Laura Linney,mid,very-profitable,high,mid-high,high
Leo Fitzpatrick,low,very-profitable,low,mid-high,low
Antonio Banderas,high,profitable,mid,mid-low,high
Shannen Doherty,low,not-profitable,low,mid-high,low
Elizabeth Berkley,low,not-profitable,low,low,low
Ice Cube,high,profitable,mid,mid-low,high
Emma Thompson,mid,very-profitable,mid,mid-high,mid
Leonardo DiCaprio,high,profitable,mid,high,mid
Adam Sandler,high,profitable,mid,mid-low,high
Karan Ashley,low,profitable,low,low,low
Pierce Brosnan,high,profitable,mid,mid-high,mid
Natasha Henstridge,low,not-profitable,mid,low,mid
Jonny Lee Miller,low,not-profitable,low,mid-low,low
Lori Petty,low,not-profitable,low,low,low
Bill Farmer,low,not-profitable,low,mid-high,low
Sandra Bullock,high,very-profitable,high,mid-low,high
James Cromwell,low,very-profitable,low,mid-high,low
Ron Perlman,mid,not-profitable,low,mid-high,mid
Mary Steenburgen,low,profitable,low,mid-high,low
Liesel Matthews,low,not-profitable,low,high,low
David Caruso,mid,not-profitable,low,mid-low,mid
Larenz Tate,low,not-profitable,low,mid-high,mid
Schuyler Fisk,low,not-profitable,low,mid-low,low
Whitney Houston,low,very-profitable,low,mid-low,low
Heather Matarazzo,low,very-profitable,low,high,low
Hal Scardino,low,not-profitable,low,mid-low,low
Billy Zane,low,not-profitable,low,mid-low,high
Steve Buscemi,mid,not-profitable,low,mid-high,low
Clarence Williams III,low,not-profitable,low,mid-high,low
Predrag 'Miki' Manojlovic,low,not-profitable,low,high,low
William Baldwin,low,not-profitable,low,low,high
Julianne Moore,high,not-profitable,mid,mid-high,high
Mark Rylance,low,not-profitable,low,mid-high,low
Jimmy Smits,low,profitable,low,mid-high,low
Jack Mulcahy,low,very-profitable,low,mid-high,low
Parker Posey,low,not-profitable,mid,mid-high,low
Peter Gallagher,low,not-profitable,low,mid-low,low
Sinbad,low,profitable,low,mid-low,low
Aida Mohammadkhani,low,very-profitable,low,high,low
Laurel Holloman,low,very-profitable,low,mid-high,low
Sean Young,low,not-profitable,low,low,low
Shar-Ron Corley,low,not-profitable,low,mid-high,low
Patricia Arquette,low,not-profitable,mid,mid-high,low
Michael Jordan,low,profitable,low,mid-high,low
Neve Campbell,mid,very-profitable,high,mid-high,mid
William H. Macy,low,very-profitable,high,high,high
Helen Hunt,low,very-profitable,low,mid-high,low
Matthew McConaughey,high,profitable,mid,mid-high,high
Robin Tunney,low,not-profitable,low,mid-high,low
Luke Wilson,mid,not-profitable,mid,mid-high,mid
Jennifer Tilly,mid,not-profitable,low,mid-low,high
Billy Bob Thornton,mid,very-profitable,high,mid-high,high
David Thewlis,low,not-profitable,low,mid-low,high
Vince Vaughn,high,profitable,high,mid-low,high
Shawn Wayans,low,profitable,mid,mid-low,high
Philip Baker Hall,low,not-profitable,low,mid-high,low
Tony Shalhoub,low,profitable,low,mid-high,high
Jada Pinkett Smith,low,very-profitable,low,mid-high,low
Paul Terry,low,not-profitable,low,mid-high,low
Pauly Shore,low,not-profitable,low,low,low
Gwyneth Paltrow,mid,profitable,high,mid-high,mid
Naveen Andrews,low,not-profitable,low,mid-low,low
Christopher Guest,low,not-profitable,low,high,low
Timothy Spall,low,not-profitable,mid,high,mid
Mike Judge,low,very-profitable,low,mid-high,low
Pamela Anderson,low,not-profitable,low,low,low
Reese Witherspoon,high,profitable,mid,mid-low,high
Shaquille O'Neal,low,not-profitable,low,low,low
Kelsey Grammer,low,profitable,mid,mid-low,high
Edward Burns,mid,not-profitable,mid,low,high
Geoffrey Rush,mid,profitable,high,mid-high,high
Michelle Trachtenberg,low,profitable,low,low,high
Dennis Miller,low,not-profitable,low,low,low
Vincent Perez,low,not-profitable,low,low,low
Jeffrey Wright,low,not-profitable,low,mid-high,low
Bruce Ramsay,low,profitable,low,low,low
Scarlett Johansson,high,profitable,high,mid-high,mid
Chris O'Donnell,low,not-profitable,low,mid-low,mid
Christopher Eccleston,low,not-profitable,low,mid-high,low
Michael J. Pollard,low,not-profitable,low,low,low
Ben Stiller,high,profitable,mid,mid-low,mid
Jerry O'Connell,low,not-profitable,low,mid-low,low
Sarah Jessica Parker,mid,profitable,mid,low,mid
Tom Arnold,mid,not-profitable,low,low,mid
Martin Lawrence,high,profitable,mid,low,mid
Vincent D'Onofrio,low,not-profitable,low,mid-high,low
Greg Kinnear,mid,profitable,high,mid-low,mid
David Schwimmer,low,not-profitable,low,low,low
Theresa Randle,low,not-profitable,low,low,low
Steven Soderbergh,low,not-profitable,low,mid-high,low
Thora Birch,low,not-profitable,low,mid-low,low
Illeana Douglas,low,not-profitable,low,mid-high,low
Matt LeBlanc,low,not-profitable,low,low,low
Mark Wahlberg,high,profitable,mid,mid-high,high
Casper Van Dien,low,not-profitable,low,mid-high,low
Pam Grier,low,profitable,low,high,low
Alex D. Linz,low,not-profitable,mid,low,mid
Tate Donovan,low,profitable,low,mid-high,low
Matt Damon,high,profitable,mid,mid-high,high
Jennifer Love Hewitt,mid,profitable,high,mid-low,high
Meg Ryan,mid,profitable,low,mid-low,high
Matthew Perry,low,not-profitable,low,mid-low,mid
Kel Mitchell,low,profitable,low,mid-low,low
Robert Carlyle,low,very-profitable,low,mid-high,low
Michael Jai White,low,not-profitable,mid,mid-low,high
Nick Sutton,low,not-profitable,low,mid-high,low
Stephen Fry,low,not-profitable,low,mid-high,low
Ben Affleck,high,very-profitable,high,mid-low,high
Djimon Hounsou,low,not-profitable,low,mid-high,low
Mira Sorvino,low,not-profitable,low,mid-low,low
Robin Shou,low,not-profitable,low,low,low
Mel B,low,not-profitable,low,low,low
Jennifer Lopez,high,profitable,high,mid-low,mid
George Clooney,high,profitable,mid,mid-high,mid
Nathan Lane,low,profitable,mid,mid-high,low
Chris Farley,low,not-profitable,mid,mid-low,low
Trey Parker,mid,not-profitable,mid,mid-high,high
Vanessa Williams,low,very-profitable,low,mid-high,low
Mohammad Amir Naji,low,very-profitable,low,high,low
Tom Everett Scott,low,not-profitable,low,mid-low,mid
Rowan Atkinson,mid,very-profitable,high,mid-high,low
Tammy Lauren,low,profitable,low,mid-low,low
Howard Stern,low,not-profitable,low,mid-high,low
Jennifer Aniston,high,profitable,mid,mid-low,low
Samuel L. Jackson,high,not-profitable,mid,mid-high,high
Tenzin Thuthob Tsarong,low,not-profitable,low,mid-high,low
Michael Jeter,low,very-profitable,low,low,low
Christina Ricci,mid,not-profitable,low,mid-low,high
Jason David Frank,low,not-profitable,low,low,low
Fran Drescher,low,not-profitable,low,mid-low,low
Cameron Diaz,high,very-profitable,high,mid-low,high
Miguel Ferrer,low,not-profitable,low,mid-low,low
Kevin Sorbo,low,not-profitable,low,low,low
John Leguizamo,mid,not-profitable,mid,mid-low,high
Angus Macfadyen,low,not-profitable,low,low,low
Sophie Marceau,low,not-profitable,low,mid-low,low
Peter Fonda,low,profitable,low,mid-high,low
Jared Leto,mid,not-profitable,mid,mid-high,high
Will Friedle,low,not-profitable,low,mid-low,low
Sam Rockwell,mid,not-profitable,mid,mid-high,high
Llyr Ifans,low,not-profitable,low,mid-high,low
Christopher McDonald,low,not-profitable,low,low,low
Joseph Mazzello,low,not-profitable,low,low,low
Thomas Jane,mid,not-profitable,mid,mid-low,mid
Marlon Wayans,mid,very-profitable,high,low,high
Stephen Dillane,low,not-profitable,low,mid-high,low
David Duchovny,mid,not-profitable,low,mid-low,mid
Aaron Eckhart,mid,very-profitable,high,mid-low,high
Julia Ormond,mid,not-profitable,low,mid-high,mid
Edward Norton,mid,profitable,mid,mid-high,high
Jordana Brewster,low,profitable,low,mid-low,mid
Ming-Na Wen,low,profitable,low,high,low
Jim Caviezel,mid,very-profitable,high,mid-high,mid
Tobey Maguire,mid,profitable,mid,mid-high,mid
Jason Schwartzman,mid,not-profitable,low,mid-high,mid
Rufus Sewell,low,not-profitable,low,high,low
Kirsten Dunst,high,profitable,mid,mid-low,mid
Ulrich Thomsen,low,not-profitable,low,high,low
Sean Gullette,low,very-profitable,low,high,low
Jane Adams,low,not-profitable,low,high,low
Cate Blanchett,high,profitable,mid,mid-high,mid
Ryan Phillippe,mid,not-profitable,low,mid-high,mid
Vincent Gallo,low,not-profitable,mid,mid-low,high
James Marsden,mid,not-profitable,low,mid-low,mid
Dave Chappelle,low,profitable,low,mid-high,low
Jeremy Theobald,low,very-profitable,low,high,low
Chris Kattan,low,profitable,low,mid-low,high
Jeffrey Falcon,low,not-profitable,low,mid-high,low
Chow Yun-Fat,mid,profitable,high,mid-high,high
Norm MacDonald,low,not-profitable,low,mid-high,low
Ian McKellen,mid,profitable,mid,mid-high,mid
Chloë Sevigny,low,not-profitable,low,mid-high,low
Carlo Cecchi,low,not-profitable,low,high,low
Veronica Taylor,low,very-profitable,low,mid-low,low
Nas,low,profitable,low,mid-low,low
Ian Bannen,low,very-profitable,low,high,low
Magda Szubanski,low,not-profitable,low,mid-low,low
Jessalyn Gilsig,low,not-profitable,low,mid-low,low
Ian Michael Smith,low,not-profitable,low,mid-high,low
Gillian Anderson,low,not-profitable,low,mid-high,low
Elizabeth Daily,low,very-profitable,low,mid-low,low
LisaRaye McCoy,low,very-profitable,low,mid-low,low
Catherine McCormack,low,not-profitable,low,mid-high,high
Fernanda Montenegro,low,profitable,low,high,low
Billy Crudup,mid,not-profitable,low,mid-high,mid
Joseph Cross,low,not-profitable,low,mid-low,low
Jay Mohr,low,not-profitable,low,mid-low,low
Kate Winslet,mid,not-profitable,mid,mid-high,mid
Oprah Winfrey,low,not-profitable,low,mid-low,low
Howie Long,low,not-profitable,low,low,low
Natasha Lyonne,low,not-profitable,low,mid-high,low
Kevin Gage,low,not-profitable,low,low,low
George Hearn,low,not-profitable,low,low,low
Paul Walker,mid,not-profitable,mid,mid-low,high
Joaquin Phoenix,high,profitable,high,mid-high,mid
Jonathan Taylor Thomas,low,not-profitable,low,mid-low,low
Chris Stafford,low,not-profitable,low,mid-high,low
Jerry Springer,low,not-profitable,low,low,low
Amy Brenneman,low,not-profitable,low,mid-low,low
Jason Biggs,mid,very-profitable,high,mid-low,mid
Ewan McGregor,high,profitable,mid,mid-high,high
Heath Ledger,mid,not-profitable,low,mid-high,high
Ron Livingston,low,not-profitable,low,high,low
Sarah Michelle Gellar,mid,very-profitable,high,mid-low,high
Heather Donahue,low,very-profitable,low,mid-high,low
James Van Der Beek,mid,profitable,mid,mid-low,high
Freddie Prinze Jr.,mid,profitable,high,low,mid
Tony Goldwyn,low,profitable,low,mid-high,low
Eli Marienthal,low,not-profitable,low,high,low
Russell Crowe,high,not-profitable,mid,mid-high,high
Rob Schneider,mid,profitable,mid,low,mid
Hilary Swank,mid,profitable,mid,mid-high,high
Rose McGowan,low,not-profitable,low,mid-low,low
Diane Lane,mid,not-profitable,mid,mid-low,mid
Jake Gyllenhaal,high,profitable,high,mid-high,mid
Jude Law,mid,not-profitable,low,mid-high,mid
Sarah Polley,low,profitable,mid,mid-high,low
Richard Farnsworth,low,not-profitable,low,high,low
Devon Sawa,mid,not-profitable,mid,mid-low,mid
Milla Jovovich,high,profitable,mid,mid-low,mid
Tommy Flanagan,low,very-profitable,low,high,low
Guy Pearce,mid,not-profitable,mid,mid-high,high
Helen Mirren,high,very-profitable,high,mid-low,high
Craig Bierko,low,not-profitable,low,mid-high,low
Melissa Joan Hart,low,profitable,low,mid-low,low
Terence Stamp,low,not-profitable,low,mid-high,low
Juliette Lewis,low,not-profitable,low,mid-high,low
Claire Danes,low,not-profitable,low,low,high
Molly Shannon,low,not-profitable,low,low,low
Taye Diggs,mid,profitable,mid,mid-high,low
Emily Watson,low,not-profitable,mid,mid-high,mid
Christopher Lloyd,low,not-profitable,low,low,low
James Levine,low,not-profitable,low,mid-high,low
Emily Bergl,low,not-profitable,low,low,low
Charlize Theron,high,not-profitable,mid,mid-high,high
Dave Goelz,low,not-profitable,low,mid-low,low
Elayn J. Taylor,low,very-profitable,low,mid-high,low
French Stewart,low,not-profitable,low,mid-low,low
Kevin Clash,low,not-profitable,low,mid-low,low
Annette Bening,mid,profitable,high,mid-high,high
Shawn Hatosy,low,not-profitable,low,mid-high,low
Takehiro Murata,low,not-profitable,low,mid-low,low
Loren Dean,low,not-profitable,low,mid-high,low
David Spade,mid,not-profitable,low,mid-low,high
Alessandro Nivola,low,not-profitable,low,mid-low,low
Hank Azaria,low,profitable,high,mid-low,high
Christian Campbell,low,very-profitable,low,mid-high,low
Miranda Richardson,low,not-profitable,low,low,low
Jeremy Northam,low,not-profitable,low,mid-low,low
Ellen Burstyn,low,not-profitable,low,high,low
Anna Faris,mid,very-profitable,high,mid-low,mid
Piper Perabo,mid,not-profitable,mid,mid-low,high
Breckin Meyer,mid,profitable,mid,mid-low,high
Ashton Kutcher,mid,profitable,mid,mid-low,high
Radha Mitchell,mid,profitable,low,mid-high,low
Emily Perkins,low,not-profitable,low,mid-high,low
David Arquette,mid,not-profitable,mid,mid-low,mid
Fred Willard,low,profitable,low,high,low
Jamie Bell,mid,very-profitable,high,mid-high,mid
Emilio Echevarría,low,very-profitable,low,high,low
Björk,low,profitable,low,high,low
Giovanni Ribisi,low,very-profitable,low,mid-high,low
Natalie Portman,mid,very-profitable,high,mid-high,mid
Sanaa Lathan,low,profitable,mid,mid-high,high
Jonathan Lipnicki,low,not-profitable,low,mid-low,low
Mark Addy,low,not-profitable,low,low,low
Gerard Butler,high,profitable,mid,mid-high,high
Joshua Jackson,low,profitable,high,low,low
Jet Li,mid,profitable,mid,mid-high,high
Amanda Schull,low,not-profitable,low,mid-high,low
Jeffrey Donovan,low,profitable,low,low,low
Jean Reno,low,profitable,mid,mid-low,high
John Malkovich,low,not-profitable,low,mid-high,low
Colin Farrell,high,not-profitable,mid,mid-high,mid
Shane West,low,not-profitable,low,mid-low,low
Mike White,low,very-profitable,low,mid-high,low
Kirk Cameron,low,very-profitable,high,mid-low,high
Lauren Ambrose,low,not-profitable,low,mid-low,low
Jamie Foxx,mid,not-profitable,mid,mid-high,high
Brenda Blethyn,low,profitable,low,mid-high,low
Jung Suh,low,not-profitable,low,mid-high,low
Jennifer Morrison,low,profitable,low,low,low
Penélope Cruz,low,not-profitable,low,mid-low,high
Tim Meadows,low,not-profitable,low,low,low
Joan Allen,low,not-profitable,low,mid-high,low
Ricardo Darín,low,very-profitable,high,high,low
Timothy Olyphant,low,profitable,mid,mid-high,mid
Lori Heuring,low,not-profitable,low,low,low
Michelle Rodriguez,low,not-profitable,low,mid-high,low
Frankie Muniz,mid,profitable,mid,mid-low,high
Huey Lewis,low,not-profitable,low,mid-low,low
Christine Cavanaugh,low,profitable,low,mid-low,low
Takeshi Kitano,low,not-profitable,low,mid-high,low
Minnie Driver,low,not-profitable,low,mid-low,low
Chris Klein,mid,not-profitable,low,low,high
Jim Cummings,low,profitable,mid,mid-high,mid
Garry Shandling,low,not-profitable,low,mid-low,low
Heather Graham,low,not-profitable,low,low,low
Lara Jill Miller,low,profitable,low,mid-low,low
Daniel Radcliffe,high,very-profitable,high,mid-high,mid
Vin Diesel,high,profitable,mid,mid-high,mid
Naomi Watts,high,profitable,mid,mid-high,high
Daveigh Chase,low,very-profitable,high,high,high
Chyler Leigh,low,very-profitable,low,mid-low,low
Josh Hartnett,mid,profitable,mid,mid-high,high
Audrey Tautou,mid,very-profitable,high,high,high
Haley Joel Osment,mid,not-profitable,low,mid-low,high
Jay Chandrasekhar,mid,profitable,high,mid-low,mid
Janeane Garofalo,low,not-profitable,low,mid-high,low
Jack Black,high,profitable,mid,mid-low,high
Gina Philips,low,very-profitable,low,mid-low,low
Alexa PenaVega,mid,profitable,mid,low,low
Angelina Jolie,high,profitable,mid,mid-high,mid
Julia Stiles,low,very-profitable,high,mid-low,low
Method Man,low,not-profitable,low,mid-low,low
Steve Zahn,low,not-profitable,low,mid-low,high
Kane Hodder,low,not-profitable,low,low,high
Jason Mewes,low,not-profitable,low,mid-high,low
Samuel Le Bihan,low,profitable,low,mid-high,low
Flex Alexander,low,not-profitable,low,mid-low,low
John Cameron Mitchell,low,not-profitable,low,high,low
Alexsandra Wright,low,not-profitable,low,mid-high,low
Tom Green,low,not-profitable,low,low,low
Hayden Christensen,mid,profitable,mid,mid-high,high
Tadanobu Asano,low,not-profitable,mid,mid-high,low
Shannon Elizabeth,low,profitable,low,low,low
Tom Wilkinson,low,very-profitable,low,high,low
Rachael Leigh Cook,low,not-profitable,low,mid-low,low
Marisa Paredes,low,not-profitable,low,high,low
Stephen Chow,low,very-profitable,low,high,low
Debi Derryberry,low,profitable,low,mid-low,low
Denise Richards,low,not-profitable,low,low,low
Marla Sokoloff,low,not-profitable,low,mid-low,low
Ryan Gosling,high,very-profitable,high,mid-high,mid
Judi Dench,mid,very-profitable,high,mid-high,high
Shah Rukh Khan,mid,profitable,mid,high,low
Justin Chambers,low,not-profitable,low,low,low
Mekhi Phifer,low,profitable,low,mid-low,low
Liv Tyler,low,not-profitable,low,mid-low,low
Melissa Sagemiller,low,not-profitable,low,low,low
Jennifer Westfeldt,low,very-profitable,low,mid-high,low
Brian Cox,low,not-profitable,mid,mid-high,high
Dr. Dre,low,not-profitable,low,low,low
Snoop Dogg,low,not-profitable,low,low,low
Monica Potter,low,not-profitable,low,mid-low,low
Mariah Carey,low,not-profitable,low,low,low
Vivica A. Fox,low,not-profitable,low,mid-low,low
Shane Brolly,low,not-profitable,low,mid-low,low
Toshio Furukawa,low,not-profitable,low,mid-high,low
Catherine Keener,low,very-profitable,low,mid-high,low
Andrew Lawrence,low,not-profitable,low,mid-high,low
Christopher Gorham,low,not-profitable,low,mid-high,low
Greg Stebner,low,not-profitable,low,mid-high,low
Eminem,low,very-profitable,low,mid-high,low
Adrien Brody,mid,not-profitable,mid,mid-high,high
Cillian Murphy,low,very-profitable,high,mid-high,mid
Franka Potente,low,profitable,low,high,low
Matthew Lillard,low,profitable,low,mid-low,mid
Mandy Moore,mid,profitable,high,mid-low,high
Joseph Gordon-Levitt,high,profitable,high,mid-high,mid
Nia Vardalos,mid,very-profitable,high,mid-low,mid
Dwayne Johnson,high,profitable,mid,mid-low,mid
Jason Statham,high,profitable,mid,mid-low,high
Kate Bosworth,mid,not-profitable,low,low,mid
Julianna Margulies,low,profitable,low,mid-low,low
Ryan Reynolds,high,very-profitable,high,mid-high,high
Salma Hayek,low,very-profitable,low,high,low
Steve Oedekerk,low,not-profitable,low,mid-low,low
Aaliyah,low,not-profitable,low,low,low
Rebecca Romijn,low,not-profitable,low,mid-low,low
Jordan Ladd,low,very-profitable,low,mid-low,low
DJ Qualls,low,profitable,low,mid-low,low
Colin Hanks,low,profitable,low,mid-low,low
Britney Spears,low,very-profitable,low,low,low
Andy Lau,low,not-profitable,low,high,low
Shad Moss,low,profitable,low,low,low
Kang-ho Song,mid,very-profitable,high,high,mid
Parry Shen,low,very-profitable,low,mid-high,low
Dana Carvey,low,profitable,low,low,low
Nick Cannon,low,profitable,low,mid-low,low
Eddie Griffin,low,not-profitable,low,mid-low,low
Alexis Bledel,low,not-profitable,low,mid-high,low
Angela Bettis,low,not-profitable,low,mid-high,low
Miguel A. Núñez Jr.,low,not-profitable,low,low,low
Chiwetel Ejiofor,mid,profitable,high,mid-high,high
Kieran Culkin,low,not-profitable,low,mid-high,low
Bruce Greenwood,low,not-profitable,low,mid-low,low
Megumi Okina,low,not-profitable,low,mid-high,low
Keisha Castle-Hughes,low,very-profitable,low,high,low
Everlyn Sampi,low,profitable,low,high,low
Jeremy Renner,mid,profitable,mid,mid-high,mid
Charlie Hunnam,mid,not-profitable,low,mid-high,low
Barry Watson,low,profitable,mid,low,high
Katie Holmes,mid,profitable,high,mid-low,high
Casey Affleck,mid,very-profitable,high,mid-high,high
Blayne Weaver,low,very-profitable,low,mid-low,low
Mars Callahan,low,not-profitable,low,mid-high,low
Anna Paquin,low,profitable,low,low,low
Tim Curry,low,profitable,low,mid-low,low
Morris Chestnut,low,profitable,mid,low,low
Michael Reilly Burke,low,not-profitable,low,mid-low,low
America Ferrera,low,profitable,low,mid-high,mid
Steve Irwin,low,profitable,low,low,low
Kate Beckinsale,mid,profitable,mid,mid-low,mid
Choi Min-sik,low,very-profitable,low,high,low
Michael Pitt,low,not-profitable,low,mid-high,low
Albert Brooks,low,very-profitable,high,mid-high,high
Eric Bana,mid,not-profitable,mid,mid-high,high
Evan Rachel Wood,mid,profitable,mid,mid-high,low
Eliza Dushku,low,profitable,low,mid-low,low
Jeremy Sumpter,low,not-profitable,low,mid-high,low
Tommy Wiseau,low,not-profitable,low,low,low
Jessica Biel,low,very-profitable,low,mid-low,low
Shia LaBeouf,high,profitable,mid,mid-high,mid
Sid Haig,mid,not-profitable,mid,mid-low,high
Kate Hudson,mid,profitable,mid,mid-low,mid
Amanda Bynes,mid,not-profitable,mid,mid-low,low
Will Ferrell,high,profitable,mid,mid-low,high
Blanchard Ryan,low,very-profitable,low,mid-low,low
A.J. Cook,low,profitable,low,mid-low,low
Elias McConnell,low,profitable,low,mid-high,low
Chaney Kley,low,very-profitable,low,low,low
