actor_name,actor_num_movies,actor_profit_mean,actor_profit_std,actor_score_mean,actor_score_std
Toni Attell,low,profitable,low,mid-low,low
Bette Midler,mid,profitable,mid,mid-low,high
Ryan O'Neal,mid,not-profitable,low,low,high
Luciano Pavarotti,low,not-profitable,low,low,low
C. Thomas Howell,low,profitable,low,mid-high,low
Tom Cruise,high,very-profitable,high,mid-high,high
Eddie Murphy,high,profitable,high,mid-low,high
Tom Berenger,mid,profitable,mid,mid-high,mid
Dennis Quaid,high,not-profitable,mid,mid-low,high
Keith Gordon,low,profitable,low,mid-high,low
Jennifer Beals,low,very-profitable,low,mid-low,low
Matthew Broderick,high,very-profitable,high,mid-high,high
Sam Shepard,low,not-profitable,low,high,low
Ken Marshall,low,not-profitable,low,mid-low,low
Christopher Walken,mid,not-profitable,low,mid-high,mid
Phoebe Cates,mid,not-profitable,mid,mid-low,mid
Nicolas Cage,high,profitable,high,mid-low,high
Matt Dillon,mid,not-profitable,mid,mid-high,high
James Woods,mid,not-profitable,low,mid-high,mid
Shirley MacLaine,mid,very-profitable,high,mid-high,mid
Dan Aykroyd,mid,not-profitable,mid,mid-low,high
Peter Billingsley,low,very-profitable,low,high,low
Anthony Perkins,low,very-profitable,low,mid-high,low
Barbra Streisand,mid,not-profitable,mid,mid-high,mid
Randy Norton,low,not-profitable,low,mid-high,low
Graham Chapman,low,not-profitable,low,mid-low,low
John Cleese,mid,profitable,high,mid-high,mid
Rick Hill,low,very-profitable,low,low,low
Jason Robards,low,not-profitable,low,mid-high,low
Peter Keleghan,low,profitable,low,low,low
Cliff Gorman,low,very-profitable,low,mid-low,low
Mary Beth McDonough,low,very-profitable,low,low,low
Linda Blair,low,very-profitable,low,low,low
Peter Strauss,low,not-profitable,low,mid-low,low
Tom Selleck,mid,profitable,high,mid-low,mid
Don Francks,low,not-profitable,low,mid-high,low
Lou Ferrigno,low,very-profitable,low,low,low
Tony Roberts,low,not-profitable,low,low,low
Rutger Hauer,mid,not-profitable,low,mid-low,mid
Shô Kosugi,low,very-profitable,low,mid-low,low
Peter Weller,mid,not-profitable,mid,mid-low,mid
David Niven,low,not-profitable,low,low,low
Max Gail,low,profitable,low,mid-low,low
Walter Matthau,mid,not-profitable,mid,mid-low,mid
Pia Zadora,low,not-profitable,low,low,low
Cristina Raines,low,not-profitable,low,mid-low,low
Rosanna Arquette,mid,profitable,high,mid-low,high
Malcolm McDowell,low,not-profitable,low,mid-low,high
Tommy Lee Jones,high,profitable,mid,mid-high,high
Martin Yost,low,very-profitable,low,low,low
Linda Griffiths,low,very-profitable,low,mid-high,low
Robby Benson,low,not-profitable,low,mid-high,low
Margot Kidder,low,not-profitable,low,low,low
Everett Silas,low,not-profitable,low,mid-high,low
Kyle MacLachlan,low,not-profitable,low,mid-high,mid
Ralph Macchio,low,very-profitable,low,mid-high,low
Craig Wasson,low,not-profitable,low,mid-high,low
Heather Langenkamp,mid,very-profitable,high,mid-high,mid
F. Murray Abraham,low,profitable,low,high,low
Patrick Swayze,high,very-profitable,high,mid-low,high
Noah Hathaway,low,not-profitable,low,high,low
Kevin Bacon,high,not-profitable,mid,mid-low,mid
Robert Carradine,low,very-profitable,low,mid-high,low
Zach Galligan,mid,very-profitable,high,mid-high,mid
Michael Douglas,high,very-profitable,high,mid-high,mid
Michael Paré,low,not-profitable,low,mid-high,mid
Molly Ringwald,mid,profitable,mid,mid-low,high
Rob Reiner,low,not-profitable,low,high,low
Val Kilmer,high,not-profitable,mid,mid-high,mid
Peter Horton,low,very-profitable,low,mid-low,low
Lance Guest,low,not-profitable,low,mid-high,low
Tom Hanks,high,very-profitable,high,mid-high,high
John Getz,low,profitable,low,high,low
Sumi Shimamoto,low,very-profitable,low,high,low
Erich Anderson,low,very-profitable,low,mid-low,low
Rachel Ward,low,not-profitable,low,mid-low,low
Helen Slater,low,not-profitable,low,low,low
Drew Barrymore,high,not-profitable,mid,mid-low,high
John Heard,low,profitable,low,mid-low,low
Gene Wilder,low,not-profitable,mid,mid-low,low
Harry Dean Stanton,low,not-profitable,low,mid-high,low
Sam Waterston,low,profitable,low,high,low
Catherine Mary Stewart,low,very-profitable,low,mid-high,low
John Lurie,low,very-profitable,low,high,low
Robert Urich,low,not-profitable,low,mid-low,low
Judy Davis,low,not-profitable,low,mid-high,low
Prince,low,very-profitable,high,mid-low,high
Rob Lowe,mid,not-profitable,mid,mid-low,high
Tanya Roberts,low,not-profitable,low,low,low
Christopher Lambert,high,not-profitable,mid,mid-low,high
Matthew Modine,mid,not-profitable,low,mid-high,high
Sarah Patterson,low,profitable,low,mid-high,low
Lilyan Chauvin,low,profitable,low,mid-low,low
Eric Roberts,mid,not-profitable,low,mid-low,mid
Rae Dawn Chong,low,not-profitable,low,mid-high,low
Teri Garr,low,not-profitable,low,mid-low,mid
Howard E. Rollins Jr.,low,profitable,low,mid-high,low
Tab Hunter,low,not-profitable,low,mid-high,low
Steven Bauer,low,not-profitable,low,mid-low,low
Joe Morton,low,very-profitable,low,mid-high,low
Geneviève Bujold,low,profitable,low,mid-high,low
Tim Matheson,low,profitable,mid,mid-low,low
Diane Keaton,mid,profitable,high,mid-low,mid
Paul McCartney,low,not-profitable,low,low,low
Michael O'Keefe,low,not-profitable,low,low,low
Debra Winger,mid,not-profitable,mid,mid-low,mid
Gary Busey,low,very-profitable,high,mid-low,low
Brooke Adams,low,not-profitable,low,low,low
Anthony Michael Hall,low,profitable,high,mid-low,high
Sean Astin,mid,profitable,mid,mid-high,high
Michael J. Fox,high,very-profitable,high,mid-high,high
William Petersen,low,not-profitable,mid,mid-high,low
Eileen Brennan,low,not-profitable,low,mid-high,low
Emilio Estevez,mid,very-profitable,high,mid-high,high
Don Ameche,low,profitable,mid,mid-low,high
Clu Gulager,low,profitable,low,mid-high,low
Demi Moore,mid,not-profitable,mid,mid-low,high
Jonathan Pryce,low,not-profitable,low,high,low
Danny Glover,mid,profitable,mid,mid-high,high
Kevin Kline,high,not-profitable,low,mid-high,mid
Tatsuya Nakadai,low,not-profitable,low,high,low
Maggie Smith,mid,very-profitable,mid,mid-high,low
Chris Sarandon,low,profitable,low,mid-high,low
Ethan Hawke,high,very-profitable,high,mid-high,high
Griffin Dunne,low,profitable,low,high,low
Robert Englund,mid,very-profitable,mid,low,mid
Steve Railsback,low,not-profitable,low,mid-low,low
Paul Reubens,low,very-profitable,low,mid-high,low
