director_name,director_num_movies,director_profit_mean,director_profit_std,director_score_mean,director_score_std
Andrew Bergman,mid,not-profitable,low,mid-low,high
Ralph S. Singleton,low,not-profitable,low,low,low
Bernardo Bertolucci,mid,not-profitable,low,mid-high,mid
John Harrison,low,very-profitable,low,mid-low,low
Whit Stillman,mid,very-profitable,high,mid-high,mid
Karel Reisz,low,not-profitable,low,low,low
David Green,low,not-profitable,low,low,low
Robert Resnikoff,low,profitable,low,mid-low,low
Martin Sheen,low,not-profitable,low,mid-high,low
Adam Simon,low,not-profitable,low,low,high
Dario Argento,low,not-profitable,low,mid-low,low
Hal Hartley,low,not-profitable,low,mid-high,low
Jan Egleson,low,not-profitable,low,mid-high,low
Malcolm Mowbray,low,not-profitable,low,mid-low,low
Roger Corman,low,not-profitable,low,mid-low,low
Patrick Read Johnson,low,profitable,high,mid-low,mid
Tibor Takács,low,not-profitable,low,low,low
Prince,low,not-profitable,low,low,low
Jon Amiel,mid,not-profitable,mid,mid-low,mid
Sondra Locke,low,not-profitable,low,mid-low,low
John Singleton,mid,profitable,mid,mid-high,high
Barry Sonnenfeld,high,profitable,mid,mid-high,high
Alfonso Cuarón,mid,very-profitable,high,high,mid
Gary Trousdale,mid,very-profitable,high,mid-high,mid
Jon Avnet,mid,profitable,high,mid-high,high
Peter Hewitt,mid,not-profitable,mid,low,high
Joseph Ruben,mid,very-profitable,high,mid-low,mid
William A. Graham,low,not-profitable,low,low,low
Ate de Jong,low,profitable,low,mid-low,low
Dan Aykroyd,low,not-profitable,low,low,low
Michael Pressman,low,profitable,low,mid-low,low
Mario Van Peebles,low,profitable,mid,mid-low,high
Daniel Petrie Jr.,low,not-profitable,low,mid-high,low
Jack Bender,low,not-profitable,low,low,low
Rachel Talalay,mid,not-profitable,mid,low,mid
Leos Carax,low,not-profitable,low,high,low
Brian Levant,mid,profitable,mid,low,mid
Lili Fini Zanuck,low,not-profitable,low,mid-high,low
Sean Penn,mid,not-profitable,mid,mid-high,high
Michael Hoffman,mid,not-profitable,low,mid-high,low
David Kellogg,low,not-profitable,low,low,high
Wim Wenders,mid,not-profitable,low,mid-high,high
Michael Karbelnikoff,low,not-profitable,low,mid-low,low
Jodie Foster,mid,not-profitable,mid,mid-high,low
Bobcat Goldthwait,low,not-profitable,low,mid-low,low
Tom DiCillo,low,not-profitable,mid,mid-high,high
Jonathan Wacks,low,not-profitable,low,mid-low,low
Jerry Rees,low,not-profitable,low,mid-low,low
Todd Haynes,mid,not-profitable,mid,mid-high,mid
George Jackson,low,profitable,low,low,low
Simon Moore,low,not-profitable,low,mid-high,low
József Gémes,low,not-profitable,low,mid-high,low
Nadia Tass,low,not-profitable,low,mid-low,low
Maurice Phillips,low,not-profitable,low,low,low
Sylvio Tabet,low,not-profitable,low,low,low
Duncan Gibbins,low,not-profitable,low,low,low
Bill Duke,mid,not-profitable,low,mid-low,mid
James Dearden,low,not-profitable,low,mid-low,low
Eric Red,low,not-profitable,low,mid-low,low
Heywood Gould,low,profitable,low,mid-low,low
Lasse Hallström,high,profitable,mid,mid-high,mid
Geoff Burrowes,low,not-profitable,low,mid-low,low
Radha Bharadwaj,low,not-profitable,low,mid-high,low
W.D. Richter,low,not-profitable,low,mid-high,low
Quentin Tarantino,high,very-profitable,high,high,mid
Bernard Rose,low,profitable,high,mid-high,low
Mick Jackson,mid,very-profitable,high,mid-low,mid
David Fincher,high,profitable,mid,high,high
Penelope Spheeris,mid,profitable,high,mid-low,high
Roland Emmerich,high,profitable,mid,mid-low,high
Fran Rubel Kuzui,low,profitable,low,mid-low,low
Kenny Ortega,mid,very-profitable,high,mid-low,high
Peter Jackson,high,very-profitable,high,high,high
Katt Shea,low,not-profitable,low,low,mid
Brett Leonard,mid,not-profitable,mid,low,high
Les Mayfield,mid,profitable,mid,mid-low,mid
Edward James Olmos,low,not-profitable,low,mid-high,low
Robert Rodriguez,high,very-profitable,high,mid-low,high
Bill Kroyer,low,not-profitable,low,mid-high,low
Ernest R. Dickerson,mid,not-profitable,mid,mid-low,high
Jon Turteltaub,high,very-profitable,high,mid-low,mid
Uli Edel,low,not-profitable,low,low,high
Kevin Hooks,mid,not-profitable,mid,mid-low,low
David Price,low,very-profitable,high,low,low
Sally Potter,low,not-profitable,low,mid-high,low
Tony Maylam,low,not-profitable,low,mid-low,low
Phil Roman,low,not-profitable,low,low,low
Eugene Levy,low,not-profitable,low,mid-low,low
Stanley Tong,mid,very-profitable,high,mid-low,high
Bruce Robinson,low,not-profitable,low,mid-low,low
Alfonso Arau,low,very-profitable,high,mid-high,low
Randall Miller,mid,not-profitable,low,mid-low,mid
Bruce A. Evans,low,profitable,low,mid-high,high
Carroll Ballard,low,not-profitable,low,mid-high,low
Stephen Milburn Anderson,low,not-profitable,low,mid-high,low
Brian Henson,low,not-profitable,mid,mid-high,high
Chris Menges,low,not-profitable,low,mid-low,low
Stephen Gyllenhaal,low,not-profitable,low,mid-high,low
Carl Schenkel,low,not-profitable,low,mid-low,low
Keith Gordon,mid,not-profitable,low,mid-high,high
Marc Rocco,low,not-profitable,low,mid-high,low
Martin Bell,low,not-profitable,low,mid-high,low
Arne Glimcher,low,not-profitable,low,mid-high,low
Billy Crystal,low,not-profitable,low,mid-low,low
Ringo Lam,low,not-profitable,low,mid-low,high
Gregg Araki,low,very-profitable,low,mid-high,low
Tamra Davis,mid,profitable,mid,mid-low,high
Irwin Winkler,mid,not-profitable,mid,mid-low,high
Neal Jimenez,low,not-profitable,low,mid-high,low
Allan Moyle,low,not-profitable,low,low,low
Robert De Niro,low,not-profitable,low,mid-high,high
Marco Brambilla,low,not-profitable,low,mid-low,high
Annabel Jankel,low,not-profitable,low,low,low
Nora Ephron,mid,profitable,high,mid-low,high
Jane Campion,mid,profitable,mid,mid-high,high
Henry Selick,mid,profitable,mid,mid-high,high
Daniel Stern,low,very-profitable,low,mid-low,low
Jim Sheridan,mid,profitable,mid,mid-high,high
Albert Hughes,mid,profitable,mid,mid-high,low
Ron Maxwell,low,not-profitable,low,mid-high,high
Agnieszka Holland,low,not-profitable,mid,mid-high,mid
John Woo,mid,profitable,mid,mid-low,mid
Robert Lieberman,low,not-profitable,low,mid-high,low
Dominic Sena,mid,not-profitable,mid,mid-low,mid
Thomas Schlamme,low,not-profitable,low,mid-high,low
Alan Shapiro,low,not-profitable,mid,mid-low,mid
Gene Quintano,low,profitable,low,mid-low,low
Mark Jones,low,very-profitable,low,low,low
Brian Yuzna,low,not-profitable,low,mid-low,low
Steven Zaillian,mid,not-profitable,low,mid-high,mid
Adam Marcus,low,very-profitable,low,low,low
Roger Avary,low,not-profitable,mid,mid-high,low
Guillermo del Toro,high,profitable,mid,mid-high,mid
Stephen Surjik,low,not-profitable,low,mid-low,low
Peter Medak,low,not-profitable,low,mid-high,low
Stuart Gillard,low,profitable,low,low,low
Rob Bowman,mid,not-profitable,low,mid-low,high
