primaryName,birthYear,deathYear,knownForTitle,primaryProfession,secondaryProfession
Alexsandra Wright,1971.0,0.0,Baby Boy,actor,none
Alfonso Arau,1932.0,0.0,Three Amigos!,actor,director
Alfonso Cuarón,1961.0,0.0,Gravity,producer,writer
Alfonso Gomez-Rejon,1972.0,0.0,The Current War,director,none
Alfre Woodard,1952.0,0.0,Star Trek: First Contact,actor,producer
Alice Englert,1994.0,0.0,Beautiful Creatures,actor,director
Alicia Silverstone,1976.0,0.0,Clueless,actor,producer
Alicia Vikander,1988.0,0.0,Ex Machina,actor,producer
Alison Lohman,1979.0,0.0,Drag Me to Hell,actor,archive_footage
Alison Maclean,1958.0,0.0,Jesus' Son,director,writer
Alister Grierson,1969.0,0.0,Sanctum,director,writer
Allan A. Goldstein,1949.0,0.0,The Outside Chance of Maximilian Glick,director,writer
Allan Arkush,1948.0,0.0,Heroes,producer,director
Allan Moyle,1947.0,0.0,Pump Up the Volume,director,actor
Allen Coulter,1969.0,0.0,Remember Me,director,producer
Allen Hughes,1972.0,0.0,The Book of Eli,director,producer
Allen Payne,1968.0,0.0,New Jack City,actor,archive_footage
Allison Anders,1954.0,0.0,Gas Food Lodging,director,writer
Ally Sheedy,1962.0,0.0,WarGames,actor,producer
Alyson Hannigan,1974.0,0.0,Buffy the Vampire Slayer,actor,producer
Alyssa Milano,1972.0,0.0,Charmed,actor,producer
Amanda Bynes,1986.0,0.0,Hairspray,actor,writer
Amanda Donohoe,1962.0,0.0,Liar Liar,actor,producer
Amanda Schull,1978.0,0.0,12 Monkeys,actor,archive_footage
Amanda Seyfried,1985.0,0.0,Les Misérables,actor,producer
Amandla Stenberg,1998.0,0.0,The Hunger Games,actor,miscellaneous
Amber Heard,1986.0,0.0,Aquaman,actor,producer
Amber Tamblyn,1983.0,0.0,The Sisterhood of the Traveling Pants,actor,producer
America Ferrera,1984.0,0.0,Barbie,actor,producer
Amma Asante,1969.0,0.0,Belle,actor,director
Amy Adams,1974.0,0.0,Arrival,actor,producer
Amy Brenneman,1964.0,0.0,Judging Amy,actor,producer
Amy Heckerling,1954.0,0.0,Clueless,writer,director
Amy Holden Jones,1953.0,0.0,The Resident,writer,producer
Amy Irving,1953.0,0.0,Traffic,actor,producer
Amy Landecker,1969.0,0.0,Dan in Real Life,actor,director
Amy Poehler,1971.0,0.0,Inside Out,actor,producer
Amy Schumer,1981.0,0.0,Trainwreck,writer,actor
Amy Seimetz,1981.0,0.0,Upstream Color,actor,writer
Ana Lily Amirpour,1976.0,0.0,A Girl Walks Home Alone at Night,director,writer
Anand Tucker,1963.0,0.0,Girl with a Pearl Earring,producer,director
Andie MacDowell,1958.0,0.0,Groundhog Day,actor,producer
Andre Gower,1973.0,0.0,The Monster Squad,actor,writer
Andrea Arnold,1961.0,0.0,American Honey,actor,director
Andrea Berloff,1973.0,0.0,Straight Outta Compton,writer,actor
